uid,unique_id,boot_num,term,estimate,std.error,statistic,p.value
16_1_0001,16_1,0001,K,18281.55259512684,600.7309074212644,30.43218247851337,4.38472787193394e-20
16_1_0001,16_1,0001,r,0.4540352124704872,0.036043814945983015,12.596757950037368,8.339671169989927e-12
16_1_0002,16_1,0002,K,17615.40508528577,488.3934099666882,36.06806464994534,9.514184879887489e-22
16_1_0002,16_1,0002,r,0.3656930325745952,0.03866208180977849,9.458699983457782,2.161492335618354e-9
16_1_0003,16_1,0003,K,18640.242694816447,585.267765660935,31.84908479243902,1.575771648469041e-20
16_1_0003,16_1,0003,r,0.4536288245393505,0.055797634630380656,8.129893454163717,3.249996391504788e-8
16_1_0004,16_1,0004,K,17724.83785150503,624.2078221917902,28.395731712024283,2.072765901470325e-19
16_1_0004,16_1,0004,r,0.4974132986115903,0.06197995495493477,8.025389805030615,4.0620592847725005e-8
16_1_0005,16_1,0005,K,18515.582355993534,588.63549272031,31.45508992403081,2.0852240108297552e-20
16_1_0005,16_1,0005,r,0.4379652008652048,0.046413720039407504,9.436115021449499,2.2590843057619645e-9
16_1_0006,16_1,0006,K,18375.995560776737,524.315224715861,35.047610091305536,1.8202649476187632e-21
16_1_0006,16_1,0006,r,0.47225802293582037,0.0585749343928782,8.062459272566247,3.752446183832279e-8
16_1_0007,16_1,0007,K,19257.091019485284,574.9146628822165,33.49556423373134,5.0608198431705594e-21
16_1_0007,16_1,0007,r,0.4362056690766874,0.03072810499355673,14.19565798698468,7.217285147410341e-13
16_1_0008,16_1,0008,K,18522.678584501256,541.5798804196305,34.201194051280844,3.161656520130035e-21
16_1_0008,16_1,0008,r,0.46891739068435884,0.05145868876063966,9.112501736403164,4.283820146770548e-9
16_1_0009,16_1,0009,K,18223.655261252203,433.72834000491594,42.016288954154234,2.989208238522797e-23
16_1_0009,16_1,0009,r,0.42539398335698597,0.025252719702525146,16.845472027096104,1.9651947177688937e-14
16_1_0010,16_1,0010,K,18971.981913607728,565.3941214904843,33.55532219470915,4.861373650872854e-21
16_1_0010,16_1,0010,r,0.43185980849195454,0.02571920233942532,16.791337569204106,2.104919656024319e-14
16_1_0011,16_1,0011,K,18445.852177637116,625.868260823029,29.472419888141413,9.002346474804896e-20
16_1_0011,16_1,0011,r,0.4379390013542831,0.04372751643361161,10.015181219339881,7.428855676559534e-10
16_1_0012,16_1,0012,K,18044.382061765682,581.540696803771,31.02858004769078,2.834693499515483e-20
16_1_0012,16_1,0012,r,0.4089042184180835,0.040894371381751726,9.99903420940097,7.658567060563118e-10
16_1_0013,16_1,0013,K,18102.696322263208,527.3534053939267,34.32744747090561,2.9092969073559353e-21
