unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,days
25_2,25,2,14164,683.19,512.4911111,21.353796295833334
25_2,25,2,6467,684.37,82.74027778,3.4475115741666666
8_5,8,5,2200,685.17,12.29388889,0.5122453704166666
5_5,5,5,2200,689.75,12.18055556,0.5075231483333333
16_3,16,3,21970,693.85,677.2333333,28.218055554166668
16_3,16,3,18672,695.22,512.265,21.344375
25_4,25,4,6330,699.77,82.65361111,3.4439004629166665
16_4,16,4,22567,703.49,949.3008333,39.5542013875
32_5,32,5,2200,703.88,13.19472222,0.5497800924999999
32_4,32,4,4994,705.79,949.6205556,39.56752315
16_5,16,5,21383,707.12,677.2911111,28.220462962499997
16_3,16,3,19586,707.14,419.1741667,17.465590279166666
25_1,25,1,10276,707.32,177.2688889,7.386203704166667
25_1,25,1,2200,708.69,12.96472222,0.5401967591666667
16_2,16,2,16973,710.77,512.1863889,21.3410995375
25_4,25,4,15049,711.12,512.585,21.357708333333335
16_2,16,2,14033,711.34,419.2155556,17.46731481666667
16_1,16,1,31303,714.37,828.7147222,34.529780091666666
16_1,16,1,20887,714.37,677.26694440000006,28.21945601666667
25_3,25,3,7680,714.69,177.36361110000001,7.3901504625
32_4,32,4,6815,715.66,1013.583056,42.23262733333333
8_1,8,1,2200,715.83,12.24555556,0.5102314816666667
16_4,16,4,17975,716.11,677.1988889,28.216620370833336
25_3,25,3,10859,717.41,512.54,21.355833333333333
38_3,38,3,5115,718.71,513.3075,21.3878125
32_4,32,4,4868,718.89,679.8941667,28.328923612500002
32_2,32,2,10356,719.67,1013.533611,42.230567125
16_1,16,1,17599,722.55,419.2563889,17.469016204166667
8_2,8,2,20375,722.6,948.9805556,39.540856483333336
16_1,16,1,19680,729.38,512.1238889,21.338495370833332
16_4,16,4,23554,732.82,512.3283333,21.3470138875
16_5,16,5,18956,733.16,512.3925,21.3496875
16_5,16,5,21208,734.05,419.0922222,17.462175925
25_3,25,3,6971,736.85,82.69777778,3.445740740833333
32_3,32,3,9681,738.57,1013.559444,42.2316435
25_2,25,2,5074,738.99,299.6758333,12.486493054166667
25_5,25,5,2200,739.25,13.00333333,0.5418055554166666
16_4,16,4,19530,741.37,419.1338889,17.4639120375
32_5,32,5,4027,743.89,679.9444444,28.331018516666663
32_2,32,2,7153,746.92,314.3336111,13.097233795833333
16_5,16,5,18167,748.82,949.3275,39.5553125
32_3,32,3,4221,749.32,679.8708333,28.327951387499997
38_3,38,3,8279,763.69,628.8752778,26.203136575000002
25_5,25,5,10567,766.23,299.7558333,12.4898263875
32_5,32,5,7805,783.05,849.22,35.384166666666665
16_2,16,2,17570,783.99,246.6116667,10.2754861125
16_3,16,3,14595,786.85,949.2761111,39.55317129583333
32_4,32,4,5767,791.16,420.1519444,17.506331016666667
8_3,8,3,22721,792.73,949.0047222,39.541863424999995
25_4,25,4,7755,795.46,177.4011111,7.391712962500001
16_3,16,3,17051,795.55,246.6394444,10.276643516666667
16_1,16,1,18912,799.86,246.5827778,10.274282408333333
16_4,16,4,18492,800.05,246.7366667,10.280694445833333
25_4,25,4,16990,800.7,677.71,28.237916666666667
25_1,25,1,15477,801.43,828.2486111,34.510358795833334
8_1,8,1,20246,803.89,948.9541667,39.53975694583333
16_5,16,5,18325,804.93,246.6944444,10.278935183333333
16_5,16,5,9935,810.38,176.4119444,7.350497683333334
16_1,16,1,11e3,811.43,176.3019444,7.34591435
8_4,8,4,18239,814.82,949.0288889,39.542870370833334
8_5,8,5,21434,819.2,949.06,39.54416666666666
25_5,25,5,17683,823.47,677.7402778,28.239178241666664
8_3,8,3,17255,824.91,486.4433333,20.268472220833335
16_2,16,2,5735,825.28,176.3338889,7.347245370833334
