temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,1,149,119.49,119.49,0.85,161.37,153.69,146.49,0.5526,1,1,505,437,0,0,0,0,0,0,0,0.83,0.7,0.97,1.42,48.05,0.97,2016-12-01,12.33,13.59,77.18,1.95,75,-25,0.19,0.84,0,0.51,18.34,9.41,05TT1_size_images_000001.tif,42,37,1799,99,152.22,15.37,1,55.49,1.05,0.91,0.95,1.14,0,0,0,45.56,167,86003,0.83,19:08:28,2016-12-02T02:08:28Z,0.09,982.6249,1314.021,12.12
5,TT,1,150,142.54,142.54,0.78,135.45,135.58,138.08,0.5526,1,1,1213,502,0,0,0,0,0,0,0,0.79,0.73,0.96,1.38,51.59,0.98,2016-12-01,13.47,14.71,76.96,1.75,60,-35,0.12,0.89,0,0.57,18.72,10.69,05TT1_size_images_000001.tif,43,41,1838,99,135.89,16.64,1,58.81,1,1.02,1.02,1.13,0,0,0,43.18,611,89009,0.85,19:09:05,2016-12-02T02:09:05Z,0.08,1280.136,1668.289,12.24
5,TT,1,151,132,132,0.78,159.44,153.63,150.47,0.5526,1,1,849,727,0,0,0,0,0,0,0,0.76,0.74,0.95,1.36,49.57,0.99,2016-12-01,12.96,14.07,75.93,1.67,80,-25,0.11,0.9,0,0.6,17.71,10.58,05TT1_size_images_000001.tif,43,37,1881,99,153.18,15.96,1,56.6,1.04,0.94,0.98,1.13,0,0,0,42.07,110,94052,0.69,19:08:24,2016-12-02T02:08:24Z,0.08,1140.835,1459.608,12.29
5,TT,1,152,127.14,127.14,0.87,146.68,135.31,133.43,0.5526,1,1,378,170,0,0,0,0,0,0,0,0.75,0.51,0.96,1.97,50.8,0.92,2016-12-01,12.72,14.46,75.9,3.92,65,0,0.71,0.59,0,0.25,26.69,6.81,05TT1_size_images_000001.tif,41,38,1920,99,136.02,15.63,1,67,1.08,0.91,0.99,1.3,0,0,0,48.05,163,80933,0.54,19:08:28,2016-12-02T02:08:28Z,0.12,1078.402,1584.715,12.99
5,TT,1,153,85.41,85.41,0.49,154.53,143.3,134.76,0.5526,1,1,462,473,0,0,0,0,0,0,0,0.48,0.51,0.75,1.96,47.14,0.9,2016-12-01,10.43,13.3,75.63,3.88,-55,45,0.24,0.81,0,0.26,22.56,5.81,05TT1_size_images_000001.tif,42,34,1960,99,141.57,18.17,1,56.73,1.08,0.87,0.94,1.19,0,0,0,33.66,256,60735,0.63,19:08:36,2016-12-02T02:08:36Z,0.22,593.7995,1231.801,8.23
5,TT,1,154,164.31,164.31,0.9,145.59,142.05,141.63,0.5526,1,1,972,400,0,0,0,0,0,0,0,0.81,0.63,0.98,1.58,55.4,0.95,2016-12-01,14.46,15.93,75.55,2.58,-30,90,0.43,0.7,0,0.39,24.11,9.36,05TT1_size_images_000001.tif,41,44,1996,99,142.23,16.92,1,66.95,1.02,0.97,1,1.19,0,0,0,50.14,587,105105,0.75,19:09:03,2016-12-02T02:09:03Z,0.09,1584.403,2115.895,14.64
5,TT,1,155,66.41,66.41,0.7,127.38,121.59,125.63,0.5526,1,1,1047,433,0,0,0,0,0,0,0,0.77,0.9,0.94,1.12,36.26,1,2016-12-01,9.2,9.84,75.49,1,20,-70,0,1.21,0,1,9.7,9.7,05TT1_size_images_000001.tif,30,35,2,153,123.44,11.71,1,38.78,1.05,0.99,1.03,1.06,0,0,0,25.11,649,43326,0.85,19:09:08,2016-12-02T02:09:08Z,0.07,407.1037,498.7037,7.7
5,TT,1,156,134.31,141.76,0.79,168.06,158.14,151.01,0.5526,1,1,627,460,0,0,0,0,0,0,0,0.8,0.65,0.96,1.53,52,0.96,2016-12-01,13.08,14.85,75.34,2.4,-80,10,0.31,0.76,0,0.42,21.86,9.11,05TT1_size_images_000001.tif,44,39,39,153,157.04,16.7,1,61.93,1.06,0.9,0.95,1.41,0,0,0,47.81,395,97835,0.75,19:08:47,2016-12-02T02:08:47Z,0.12,1170.881,1713.251,12.54
5,TT,1,157,119.24,119.24,0.68,113.67,113.63,116.29,0.5526,1,1,1145,199,0,0,0,0,0,0,0,0.72,0.83,0.92,1.21,47.35,1,2016-12-01,12.32,13.37,75.18,1,-40,50,0,1.23,0,1,12.8,12.8,05TT1_size_images_000001.tif,37,41,80,153,112.68,15.75,1,51.21,1,1.02,1.02,1.07,0,0,0,28.04,433,63551,0.78,19:08:50,2016-12-02T02:08:50Z,0.08,979.4922,1250.69,10.44
5,TT,2,1,71.72,71.72,0.73,95.14,78.38,74.89,0.5526,1,1,519,774,0,0,0,0,0,0,0,0.79,0.88,0.95,1.14,37.58,1,2016-12-01,9.56,10.26,203.3,1,80,-25,0,1.14,0,1,10.09,10.09,05TT2_size_images_000001.tif,35,32,2,2,78.26,11.51,1,40.34,1.21,0.79,0.96,1.06,0,0,0,32.75,263,29190,0.86,19:14:56,2016-12-02T02:14:56Z,0.07,456.8922,565.4032,7.82
5,TT,2,2,46.36,46.36,0.63,87.09,79.46,84.11,0.5526,1,1,109,178,0,0,0,0,0,0,0,0.7,0.78,0.88,1.29,33.16,1,2016-12-01,7.68,8.85,180.07,1.23,25,-45,0,1.07,0,0.81,10,8.12,05TT2_size_images_000001.tif,30,32,36,2,81.7,10.69,1,36.25,1.1,0.97,1.06,1.08,0,0,0,37.7,318,21731,0.7,19:15:00,2016-12-02T02:15:00Z,0.13,237.4574,363.2882,6.66
5,TT,2,3,48.21,48.21,0.82,98.77,100.88,108.04,0.5526,1,1,936,434,0,0,0,0,0,0,0,0.87,0.97,0.98,1.03,31.1,1,2016-12-01,7.83,8.2,173.35,1,-20,65,0,1.1,0,1,8.25,8.25,05TT2_size_images_000001.tif,28,30,70,2,102.38,9.07,1,32.99,0.98,1.09,1.07,1.05,0,0,0,27.93,625,28053,0.91,19:15:26,2016-12-02T02:15:26Z,0.04,251.8118,288.5705,6.98
5,TT,2,4,73.42,73.42,0.88,111.93,98.66,92.65,0.5526,1,1,555,329,0,0,0,0,0,0,0,0.87,0.89,0.98,1.12,37.72,1,2016-12-01,9.67,10.3,170.31,1,-55,0,0,1.1,0,1,10.1,10.1,05TT2_size_images_000001.tif,34,31,102,2,98.35,11.1,1,40.4,1.13,0.83,0.94,1.06,0,0,0,35.03,176,37372,0.82,19:14:49,2016-12-02T02:14:49Z,0.06,473.216,572.6332,9.12
5,TT,2,5,46.36,46.36,0.69,81.93,78.29,88.14,0.5526,1,1,107,877,0,0,0,0,0,0,0,0.78,0.91,0.93,1.1,31.61,1,2016-12-01,7.68,8.36,168.04,1,70,-40,0,1.19,0,1,8.39,8.39,05TT2_size_images_000001.tif,31,29,135,2,81.24,9.96,1,33.58,1.05,1.08,1.13,1.05,0,0,0,30.38,565,21609,0.88,19:15:21,2016-12-02T02:15:21Z,0.08,237.4574,305.8125,6.07
