rsq,unique_id
0.850008033726864,16_1
0.797474383281088,16_2
0.780317393511162,16_3
0.871219703521703,16_4
0.930452505114967,16_5
0.726455961244526,25_1
0.808546923209178,25_2
0.824377161809367,25_3
0.878112169898523,25_4
0.763783746157203,25_5
0.729820157798767,32_1
0.209293952797138,32_2
0.274080995143887,32_3
0.618497910981597,32_4
0.649547844283078,32_5
0.715244596376111,38_1
0.631116384298768,38_2
0.827505155988769,38_3
0.888547785716574,38_4
0.714662656073507,38_5
0.893406521365336,5_1
0.915667118638977,5_2
0.976007074942402,5_3
0.893315241847281,5_4
0.922476696973171,5_5
0.973958288376491,8_1
0.905793372174026,8_2
0.944095735366096,8_3
0.884707130228005,8_4
0.792266206784936,8_5
