temperature,rep,date,volume_abd,cell_biomass_M
5,3,2016-12-01,513.8104,52.94587896006796
5,2,2016-12-01,1290.57,131.88974522785767
5,5,2016-12-01,744.5996,76.471919483033
5,4,2016-12-01,604.1201,62.161240678908655
5,4,2016-12-01,632.8645,65.09167334275676
5,2,2016-12-01,1184.331,121.1262682079586
5,5,2016-12-01,1252.47,128.0306422564353
5,3,2016-12-01,1276.665,130.48144501720938
5,5,2016-12-01,1007.827,103.22431584040562
5,1,2016-12-01,899.4186,92.21524102242577
5,5,2016-12-01,1447.319,147.75618967049815
5,4,2016-12-01,1081.654,110.71540762726487
5,3,2016-12-01,664.8229,68.34836257715233
5,3,2016-12-01,518.6739,53.442509481032694
5,3,2016-12-01,345.0729,35.68585889797121
5,3,2016-12-01,700.1436,71.94604700748343
5,5,2016-12-01,1130.887,115.70841291688481
5,4,2016-12-01,361.7682,37.39650479612212
5,2,2016-12-01,1055.745,108.08700919448763
5,3,2016-12-01,807.4712,82.86848438062323
5,5,2016-12-01,845.5569,86.74112495565019
5,4,2016-12-01,893.3699,91.6006450449183
5,1,2016-12-01,979.4922,100.34794220827806
5,4,2016-12-01,1259.365,128.7291058561656
5,5,2016-12-01,911.5639,93.4491879200199
5,1,2016-12-01,982.6249,100.66599096837908
5,3,2016-12-01,722.2368,74.19557324624876
5,5,2016-12-01,1231.874,125.94406031150227
5,5,2016-12-01,845.5569,86.74112495565019
5,1,2016-12-01,755.8815,77.62008799065111
5,4,2016-12-01,506.5496,52.20437214135091
5,4,2016-12-01,648.7658,66.71226011562446
5,3,2016-12-01,555.7305,57.22515168863792
5,5,2016-12-01,528.4557,54.44123984732086
5,2,2016-12-01,622.3506,64.01994467673983
5,5,2016-12-01,1403.887,143.36154115171954
5,3,2016-12-01,1058.971,108.41430958125453
5,1,2016-12-01,1164.178,119.0835331350237
5,5,2016-12-01,635.5038,65.36068368349997
5,1,2016-12-01,477.9222,49.27986251590024
5,4,2016-12-01,1140.835,116.71705716191478
5,2,2016-12-01,932.9708,95.62374248548592
5,5,2016-12-01,976.3634,100.0302802594554
5,5,2016-12-01,872.3252,89.4620428242049
5,1,2016-12-01,905.4833,92.83142538129891
5,3,2016-12-01,725.0174,74.47864923952586
5,1,2016-12-01,535.8399,55.195062778712185
5,2,2016-12-01,708.3968,72.786460257077
5,5,2016-12-01,851.4772,87.34297171942123
5,2,2016-12-01,887.3371,90.98762732911882
5,2,2016-12-01,596.373,61.37122743006501
5,2,2016-12-01,1469.226,149.97238762442709
5,5,2016-12-01,1004.663,102.90316260969051
5,2,2016-12-01,982.6249,100.66599096837908
5,3,2016-12-01,1081.654,110.71540762726487
5,2,2016-12-01,872.3252,89.4620428242049
5,5,2016-12-01,555.7305,57.22515168863792
5,1,2016-12-01,427.1916,44.093401003955755
5,3,2016-12-01,1706.75,173.98302608817434
5,1,2016-12-01,911.5639,93.4491879200199
5,1,2016-12-01,630.2295,64.82309120653838
5,2,2016-12-01,1017.341,104.18995403293957
5,2,2016-12-01,1343.231,137.2220325221789
5,4,2016-12-01,214.8827,22.31711940826896
5,2,2016-12-01,810.3764,83.16394868574714
5,3,2016-12-01,860.3879,88.24874610836525
5,4,2016-12-01,1097.971,112.37043178252651
5,2,2016-12-01,593.7995,61.108773482816574
5,3,2016-12-01,914.6101,93.7586546447916
5,3,2016-12-01,824.9637,84.64736112531303
5,1,2016-12-01,300.8361,31.149528573316122
5,1,2016-12-01,1065.432,109.06979651246323
5,4,2016-12-01,1157.49,118.40555842933719
5,5,2016-12-01,141.3396,14.734587465766243
5,2,2016-12-01,839.6529,86.14089744967744
5,1,2016-12-01,954.571,97.81747772480877
5,3,2016-12-01,1055.745,108.08700919448763
5,2,2016-12-01,836.7069,85.84137949473153
5,1,2016-12-01,575.909,59.28395632531928
5,3,2016-12-01,778.645,79.93628147340499
5,2,2016-12-01,237.4574,24.639502508544833
5,3,2016-12-01,1154.151,118.06706475330412
5,3,2016-12-01,982.6249,100.66599096837908
5,5,2016-12-01,1062.2,108.74190535306116
5,3,2016-12-01,992.0464,101.62245806941753
5,1,2016-12-01,640.7956,65.90001952540315
5,5,2016-12-01,596.373,61.37122743006501
5,3,2016-12-01,1033.276,105.8071199098592
5,5,2016-12-01,795.8913,81.69069134990704
5,5,2016-12-01,869.3348,89.15811529605581
5,3,2016-12-01,722.2368,74.19557324624876
5,4,2016-12-01,948.3798,97.18874015088264
5,1,2016-12-01,1425.54,145.5526414114453
5,3,2016-12-01,1228.454,125.59754965715968
5,2,2016-12-01,982.6249,100.66599096837908
5,5,2016-12-01,1107.806,113.36788318491922
5,3,2016-12-01,936.0447,95.93595811710429
5,4,2016-12-01,1262.817,129.07878056575473
5,2,2016-12-01,1228.454,125.59754965715968
5,3,2016-12-01,917.6603,94.0685184393216
5,4,2016-12-01,1075.154,110.05605387560077
5,2,2016-12-01,1231.874,125.94406031150227
5,1,2016-12-01,614.5112,63.22073380539445
5,5,2016-12-01,998.3468,102.26202662264319
5,2,2016-12-01,851.4772,87.34297171942123
5,3,2016-12-01,208.1264,21.621644656772595
5,4,2016-12-01,790.1261,81.10425478995452
5,2,2016-12-01,936.0447,95.93595811710429
5,5,2016-12-01,389.5776,40.24436969873374
5,4,2016-12-01,291.1308,30.153508968828014
5,5,2016-12-01,951.4734,97.50291043355958
5,1,2016-12-01,1294.056,132.2427862948278
5,2,2016-12-01,683.752,70.27664499698862
5,5,2016-12-01,470.87,48.55918737925701
5,2,2016-12-01,833.765,85.54226891256097
5,4,2016-12-01,778.645,79.93628147340499
5,5,2016-12-01,848.515,87.04184466246036
5,1,2016-12-01,580.9984,59.80312243321526
5,4,2016-12-01,804.5701,82.57342750583973
5,3,2016-12-01,583.5497,60.06336332452408
5,2,2016-12-01,324.658,33.59307595397264
5,3,2016-12-01,409.3164,42.26463389840624
5,5,2016-12-01,1147.485,117.39126752311748
5,1,2016-12-01,942.2044,96.56157032060284
5,3,2016-12-01,1396.697,142.63390699151347
5,1,2016-12-01,902.449,92.52313973691768
5,3,2016-12-01,942.2044,96.56157032060284
5,5,2016-12-01,407.1037,42.038208708912244
5,3,2016-12-01,496.933,51.222132525487396
5,3,2016-12-01,378.7828,39.13913612826395
5,2,2016-12-01,1429.161,145.91902659494227
5,4,2016-12-01,570.8375,58.76657510807095
5,2,2016-12-01,988.902,101.30324890365361
5,5,2016-12-01,830.8272,85.24356570911115
5,3,2016-12-01,738.9837,75.90032636629698
5,1,2016-12-01,526.0034,54.1908736135028
5,3,2016-12-01,860.3879,88.24874610836525
5,3,2016-12-01,501.7321,51.712333825013296
5,2,2016-12-01,393.9298,40.6898945145823
5,4,2016-12-01,654.1009,67.25590824461918
5,2,2016-12-01,887.3371,90.98762732911882
5,3,2016-12-01,727.8023,74.76215319624318
5,4,2016-12-01,601.5333,61.897461036355324
5,5,2016-12-01,804.5701,82.57342750583973
5,4,2016-12-01,697.401,71.66675172158205
5,4,2016-12-01,775.785,79.64530939432892
5,5,2016-12-01,518.6739,53.442509481032694
5,3,2016-12-01,902.449,92.52313973691768
5,2,2016-12-01,758.7124,77.90816678267211
5,3,2016-12-01,1084.91,111.0456797185335
8,1,2016-12-01,733.3846,75.33040425343943
8,3,2016-12-01,178.8506,18.605634525604238
8,2,2016-12-01,691.9286,71.10943506993183
8,2,2016-12-01,1170.881,119.76299324718072
8,4,2016-12-01,911.5639,93.4491879200199
8,3,2016-12-01,857.4136,87.94641736517427
8,5,2016-12-01,881.3203,90.3761980773733
8,1,2016-12-01,635.5038,65.36068368349997
8,3,2016-12-01,787.2496,80.81164261876778
8,3,2016-12-01,452.2707,46.658026462625315
8,1,2016-12-01,411.5339,42.49153921924535
8,3,2016-12-01,499.3302,51.46699843613722
8,5,2016-12-01,508.9653,52.45108526316143
8,2,2016-12-01,778.645,79.93628147340499
8,1,2016-12-01,630.2295,64.82309120653838
8,1,2016-12-01,976.3634,100.0302802594554
8,3,2016-12-01,711.1563,73.06743705475228
8,1,2016-12-01,736.1821,75.61516152054963
8,3,2016-12-01,431.7085,44.55540361761895
8,5,2016-12-01,387.4088,40.02233788258839
8,5,2016-12-01,813.2857,83.45982041538561
8,3,2016-12-01,662.1359,68.07460170576739
8,3,2016-12-01,543.2649,55.95295655178704
8,4,2016-12-01,1046.092,107.10759058600983
8,3,2016-12-01,568.3085,58.508557680824076
8,4,2016-12-01,995.1947,101.942054027641
8,3,2016-12-01,869.3348,89.15811529605581
8,4,2016-12-01,638.1475,65.63013241374767
8,5,2016-12-01,810.3764,83.16394868574714
8,3,2016-12-01,648.7658,66.71226011562446
8,3,2016-12-01,270.2419,28.008729507617854
8,2,2016-12-01,753.0548,77.33242691144767
8,5,2016-12-01,948.3798,97.18874015088264
8,5,2016-12-01,875.3195,89.76635733133759
