file_name,temperature,species,rep,cell_density,start_time,cell_volume,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
k-temp-edited/nov9/25TT2_copy/summary_export,25,TT,2,4864,2016-11-09  18:26:17,746.42,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-09 18:26:17 UTC,12.528159722222222,300.67583333333334,3630586.88
k-temp-edited/nov9/25TT3_copy/summary_export,25,TT,3,6309,2016-11-09  18:27:57,918.88,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-09 18:27:57 UTC,12.52931712962963,300.7036111111111,5797213.92
k-temp-edited/nov9/25TT4_copy/summary_export,25,TT,4,7632,2016-11-09  18:29:31,990.31,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-09 18:29:31 UTC,12.530405092592593,300.7297222222222,7558045.92
k-temp-edited/nov9/25TT5_copy/summary_export,25,TT,5,9225,2016-11-09  18:31:05,840.37,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-11-09 18:31:05 UTC,12.531493055555556,300.7558333333333,7752413.25
k-temp-edited/oct_28/05TT1_copy/summary_export,5,TT,1,2200,2016-10-28  17:51:18,668.61,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 17:51:18 UTC,0.5038657407407408,12.092777777777778,865181.34
k-temp-edited/oct_28/05TT1/05TT1_summary,5,TT,1,2200,2016-10-28  17:51:18,495.39,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 17:51:18 UTC,0.5038657407407408,12.092777777777778,4202888.76
k-temp-edited/oct_28/05TT5/05TT5_summary,5,TT,5,2200,2016-10-28  17:56:34,689.75,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 17:56:34 UTC,0.5075231481481481,12.180555555555555,1165677.5
k-temp-edited/oct_28/08TT1/08TT1_summary,8,TT,1,2200,2016-10-28  18:00:28,715.83,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 18:00:28 UTC,0.5102314814814815,12.245555555555555,1183266.99
k-temp-edited/oct_28/08TT5/08TT5_summary,8,TT,5,2200,2016-10-28  18:03:22,685.17,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 18:03:22 UTC,0.5122453703703703,12.293888888888889,1392265.44
k-temp-edited/oct_28/16TT1/16TT1_summary,16,TT,1,2200,2016-10-28  18:37:31,638.69,2016-10-28T05:45:44Z,2016-10-28 05:45:44 UTC--2016-10-28 18:37:31 UTC,0.5359606481481481,12.863055555555556,1071083.1300000001
