ID,r,K
16_1,0.2356747569750946,27154.066889469766
16_2,0.16022887217023496,28079.51702082113
16_3,0.3666849522781759,19875.453408483172
16_4,0.34973828068473545,20897.643114770308
16_5,0.3512898912515711,19746.150629595148
25_1,0.15842892487668767,15099.082500719132
25_2,0.11260385201954234,16783.54914052451
25_3,0.14461433427651202,14901.439799589103
25_4,0.18795706466789497,15195.584843456156
25_5,0.2766106898972375,13539.515865272893
32_1,0.031198029514765902,1e7
32_2,0.19539097093745944,8500.245477879462
32_3,0.10397755229948176,7407.048477829056
32_4,0.10642135697419966,6552.439347557997
32_5,0.08713820161076977,7093.801500510075
38_1,0.06270049714400104,6761.5566781101525
38_2,0.033207849967688906,1e7
38_3,0.08417370298520586,8698.386989966728
38_4,0.05633876912593915,7550.542922102188
38_5,0.018950625067715103,1e7
5_1,0.10889800230838179,24410.911299402906
5_2,0.10339905939186052,27781.832815969694
5_3,0.09500604213544545,28411.187013488416
5_4,0.11336721910054239,27483.399484799887
5_5,0.11122631857213802,24738.536238719284
8_1,0.1554785497663843,22945.84158988236
8_2,0.20170550379684618,24181.369656862444
8_3,0.1337343729254925,26506.217839132496
8_4,0.15419454609269517,22441.061399306484
8_5,0.20251501109085318,20672.84709614098
