unique_id,temperature,rep,term,estimate,std.error,statistic,p.value,inverse_temp,conversion
32_2,32,2,K,3963398.3883739305,917153.073563173,4.321414279271817,0.0034741655765031364,38.03036842813129,menden
38_1,38,1,K,1908506.1434565142,446839.3536267133,4.271123677819273,0.0027200307351749635,37.29701727733975,menden
38_2,38,2,K,2910366.0871687797,2374460.782312921,1.2256955805914986,0.26623662051041475,37.29701727733975,menden
25_4,25,4,K,7482252.297467074,990335.0510129287,7.555273631700827,1.936247553969874e-5,38.92324979320565,menden
25_2,25,2,K,7384672.191281708,1629044.067720861,4.53313224461346,0.0010861343565032493,38.92324979320565,menden
25_5,25,5,K,6293198.652616836,743530.732225747,8.463938852639284,3.8068050302143467e-6,38.92324979320565,menden
38_4,38,4,K,1763181.0207978007,164657.33025316938,10.708184191294833,3.915856271253541e-5,37.29701727733975,menden
25_3,25,3,K,7300419.34588535,1114647.1553146197,6.549533914007736,1.0522781025164948e-4,38.92324979320565,menden
38_3,38,3,K,3120317.4461664516,773243.5224610344,4.035361895092619,0.006838571618476003,37.29701727733975,menden
38_5,38,5,K,1555576.6116260584,250235.25701449488,6.216456586435187,8.002204349993931e-4,37.29701727733975,menden
25_1,25,1,K,6206332.009810781,935706.1046476628,6.632779223074275,3.696124857913352e-5,38.92324979320565,menden
32_1,32,1,K,2807972.737015025,414971.4736717272,6.766664494235421,1.425982587013009e-4,38.03036842813129,menden
32_3,32,3,K,3721512.955976095,627033.3875489474,5.935111319228734,3.477369991827154e-4,38.03036842813129,menden
32_5,32,5,K,3267760.4837173885,771202.823116574,4.2372257799987825,0.0028482034506275076,38.03036842813129,menden
16_5,16,5,K,10534553.153253207,644899.528720074,16.335185070085313,1.5367786775105272e-8,40.134763706879696,menden
16_2,16,2,K,9634915.224321777,1064582.2908013181,9.050418467011614,1.7785196618448837e-5,40.134763706879696,menden
16_1,16,1,K,10811994.717046116,727198.9787920963,14.868000413044074,1.2180853468318576e-7,40.134763706879696,menden
5_1,5,1,K,15137173.418087732,1805518.581725192,8.383836960361828,6.749609881075372e-5,41.72197348856467,menden
5_2,5,2,K,18425426.6616334,2165781.2495453604,8.507519707034703,6.14188011576063e-5,41.72197348856467,menden
5_3,5,3,K,16306590.29825156,2284575.433041125,7.137689595368253,1.8736642892360313e-4,41.72197348856467,menden
5_4,5,4,K,19348984.2464036,1307683.3313917855,14.796383636556879,4.283959591074284e-7,41.72197348856467,menden
5_5,5,5,K,14755000.32228118,1920842.0078510465,7.681527299992998,3.057583707291565e-5,41.72197348856467,menden
8_1,8,1,K,13927190.729183167,1066276.6458785725,13.061517180382094,1.3114201978526345e-7,41.2767808139579,menden
8_2,8,2,K,14331384.896778477,1322165.5900630087,10.839326786666339,7.557951971006843e-7,41.2767808139579,menden
8_3,8,3,K,14829513.345706621,1320945.9322655909,11.226434771839687,1.3554656823934345e-6,41.2767808139579,menden
8_4,8,4,K,13472935.996408768,1474196.7481102466,9.139170883180652,1.6551939403507573e-5,41.2767808139579,menden
8_5,8,5,K,12322407.020793976,1222860.0029392904,10.076711145327835,1.4819606154663057e-6,41.2767808139579,menden
16_3,16,3,K,11035460.756135585,975053.2018199911,11.31780372141467,1.2656479210136288e-6,40.134763706879696,menden
16_4,16,4,K,11144964.85363997,846326.4181411407,13.168636373325805,3.4759808497574765e-7,40.134763706879696,menden
32_4,32,4,K,3624361.931791554,561968.3590900064,6.449405688356675,3.5046476099451646e-4,38.03036842813129,menden
