unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,start_time,days
8_4,8,4,17023,860.52,950.0288888888889,2016-12-06  19:47:28,39.58453703703704
8_5,8,5,20389,854.89,950.06,2016-12-06  19:49:20,39.58583333333333
16_1,16,1,20503,768.11,950.0961111111111,2016-12-06  19:51:30,39.58733796296296
16_2,16,2,18958,683.86,950.1255555555556,2016-12-06  19:53:16,39.588564814814816
16_3,16,3,13070,705.04,950.2761111111112,2016-12-06  20:02:18,39.59483796296296
16_4,16,4,20650,757.47,950.3008333333333,2016-12-06  20:03:47,39.595868055555556
16_5,16,5,16816,798.71,950.3275,2016-12-06  20:05:23,39.596979166666664
25_1,25,1,11624,574.19,950.3541666666666,2016-12-06  20:06:59,39.59809027777778
25_2,25,2,13202,501.13,950.3788888888889,2016-12-06  20:08:28,39.59912037037037
25_3,25,3,9132,491.4,950.4033333333333,2016-12-06  20:09:56,39.600138888888885
25_4,25,4,12436,491.96,950.4941666666666,2016-12-06  20:15:23,39.60392361111111
25_4,25,4,12043,503.01,950.4941666666666,2016-12-06  20:15:23,39.60392361111111
5_1,5,1,19159,1250.53,1013.7113888888889,2016-12-09  11:28:25,42.23797453703704
5_2,5,2,22228,1205.34,1013.7327777777778,2016-12-09  11:29:42,42.23886574074074
5_3,5,3,21117,1182.03,1013.7586111111111,2016-12-09  11:31:15,42.23994212962963
5_4,5,4,20960,1303.51,1013.7972222222222,2016-12-09  11:33:34,42.24155092592593
5_5,5,5,21039,1206.48,1013.8211111111111,2016-12-09  11:35:00,42.2425462962963
8_1,8,1,19828,1122.21,1013.8586111111111,2016-12-09  11:37:15,42.244108796296295
8_2,8,2,23805,1100.74,1013.9041666666667,2016-12-09  11:39:59,42.246006944444446
8_3,8,3,23876,1124.28,1014.0075,2016-12-09  11:46:11,42.2503125
8_4,8,4,20228,1139.66,1013.9802777777778,2016-12-09  11:44:33,42.24917824074074
8_5,8,5,21597,1050.87,1014.0552777777777,2016-12-09  11:49:03,42.25230324074074
16_3,16,3,14428,1337.01,1014.2302777777778,2016-12-09  11:59:33,42.25959490740741
16_4,16,4,15774,965,1014.335,2016-12-09  12:05:50,42.263958333333335
16_5,16,5,15299,891.03,1014.3016666666666,2016-12-09  12:03:50,42.262569444444445
25_1,25,1,14758,556.6,1014.4322222222222,2016-12-09  12:11:40,42.26800925925926
25_1,25,1,14404,564.66,1014.4322222222222,2016-12-09  12:11:40,42.26800925925926
25_2,25,2,11621,753.98,1014.3827777777777,2016-12-09  12:08:42,42.26594907407407
25_3,25,3,11772,554.72,1014.4077777777778,2016-12-09  12:10:12,42.266990740740745
25_4,25,4,11665,648.59,1014.4577777777778,2016-12-09  12:13:12,42.26907407407408
25_5,25,5,11389,680.85,1014.4872222222223,2016-12-09  12:14:58,42.27030092592593
32_4,32,4,4691,930.25,1014.5830555555556,2016-12-09  12:20:43,42.274293981481485
32_5,32,5,3137,1040.11,1014.6102777777778,2016-12-09  12:22:21,42.275428240740744
32_1,32,1,1719,2696.48,314.8161111111111,2016-11-10  08:34:42,13.117337962962964
32_2,32,2,4060,1377.72,315.3336111111111,2016-11-10  09:05:45,13.138900462962964
32_3,32,3,4193,1513.41,315.3688888888889,2016-11-10  09:07:52,13.14037037037037
32_4,32,4,2554,1970.24,314.9008333333333,2016-11-10  08:39:47,13.120868055555555
32_5,32,5,1222,1920.02,314.9922222222222,2016-11-10  08:45:16,13.124675925925926
5_1,5,1,8274,1168.45,418.0725,2016-11-14  15:50:05,17.4196875
5_2,5,2,8756,1147.95,418.13944444444445,2016-11-14  15:54:06,17.42247685185185
5_3,5,3,7061,1304.02,418.17805555555555,2016-11-14  15:56:25,17.424085648148147
5_4,5,4,6965,1259.05,418.22222222222223,2016-11-14  15:59:04,17.425925925925927
5_5,5,5,6877,1265.28,418.26472222222225,2016-11-14  16:01:37,17.42769675925926
8_1,8,1,12674,940.76,419.88,2016-11-14  17:38:32,17.495
8_2,8,2,15474,883.41,419.92277777777775,2016-11-14  17:41:06,17.496782407407405
8_3,8,3,11535,925.64,419.9633333333333,2016-11-14  17:43:32,17.498472222222222
8_4,8,4,11576,954.48,420.00305555555553,2016-11-14  17:45:55,17.500127314814815
8_5,8,5,13349,894.01,420.05083333333334,2016-11-14  17:48:47,17.502118055555556
16_1,16,1,14155,834.51,420.25638888888886,2016-11-14  18:01:07,17.51068287037037
16_2,16,2,12403,770.47,420.21555555555557,2016-11-14  17:58:40,17.50898148148148
16_3,16,3,16703,789.7,420.1741666666667,2016-11-14  17:56:11,17.507256944444446
16_4,16,4,17142,802.91,420.13388888888886,2016-11-14  17:53:46,17.5055787037037
16_5,16,5,19439,783.5,420.09222222222223,2016-11-14  17:51:16,17.503842592592594
25_1,25,1,10523,668.86,420.885,2016-11-14  18:38:50,17.536875
25_2,25,2,5669,545.56,420.93111111111114,2016-11-14  18:41:36,17.538796296296297
25_3,25,3,8804,631.01,420.9725,2016-11-14  18:44:05,17.540520833333336
25_4,25,4,11574,602.62,421.0252777777778,2016-11-14  18:47:15,17.542719907407406
25_5,25,5,11488,567.52,421.06416666666667,2016-11-14  18:49:35,17.544340277777778
32_1,32,1,2778,1114.23,421.2891666666667,2016-11-14  19:03:05,17.55371527777778
32_2,32,2,3343,768.99,421.2325,2016-11-14  18:59:41,17.551354166666666
32_3,32,3,2613,1087.73,421.19194444444446,2016-11-14  18:57:15,17.549664351851852
32_4,32,4,3578,1659.21,421.15194444444444,2016-11-14  18:54:51,17.547997685185184
32_5,32,5,2801,929.44,421.1113888888889,2016-11-14  18:52:25,17.54630787037037
16_1,16,1,15971,812.32,513.1238888888889,2016-11-18  14:53:10,21.38016203703704
16_2,16,2,13054,878.54,513.1863888888889,2016-11-18  14:56:55,21.382766203703707
16_3,16,3,14093,799.03,513.265,2016-11-18  15:01:38,21.386041666666667
16_4,16,4,19798,774.09,513.3283333333334,2016-11-18  15:05:26,21.388680555555556
16_5,16,5,14730,871.36,513.3925,2016-11-18  15:09:17,21.39135416666667
25_1,25,1,10970,949.49,513.4333333333333,2016-11-18  15:11:44,21.393055555555552
25_2,25,2,10481,810.11,513.4911111111111,2016-11-18  15:15:12,21.395462962962963
25_3,25,3,8522,826.78,513.54,2016-11-18  15:18:08,21.397499999999997
25_4,25,4,12474,784.3,513.585,2016-11-18  15:20:50,21.399375000000003
25_5,25,5,9631,782,513.6325,2016-11-18  15:23:41,21.401354166666668
32_1,32,1,2681,2414.36,514.1063888888889,2016-11-18  15:52:07,21.421099537037037
32_2,32,2,1988,1393.57,514.1361111111111,2016-11-18  15:53:54,21.42233796296296
32_3,32,3,3640,1582.09,514.1641666666667,2016-11-18  15:55:35,21.423506944444444
32_4,32,4,2492,1868.15,514.1875,2016-11-18  15:56:59,21.424479166666668
32_5,32,5,2723,1505.73,514.2119444444445,2016-11-18  15:58:27,21.42549768518519
5_1,5,1,14456,1255.76,587.6327777777777,2016-11-21  17:23:42,24.484699074074072
5_2,5,2,14879,1143.61,587.6061111111111,2016-11-21  17:22:06,24.48358796296296
5_3,5,3,11348,1112,587.5811111111111,2016-11-21  17:20:36,24.482546296296295
5_4,5,4,17581,1164.41,587.5275,2016-11-21  17:17:23,24.4803125
