unique_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
16_1,K,18834.573466703765,950.741013384689,19.810414404709093,5.919141798039342e-10,16742.00660515358,20927.14032825395
16_1,r,0.3782423389383984,0.07279284550818083,5.19614718036939,2.9624166389307196e-4,0.2180263662140491,0.5384583116627477
16_2,K,18196.89111446409,1904.711590415627,9.553620194274846,2.4118171617810027e-6,13952.929218030466,22440.853010897717
16_2,r,0.3064125878591021,0.10171055749388574,3.0125937307690194,0.013059622043399673,0.0797873430497916,0.5330378326684125
16_3,K,17160.80556235143,933.417609351529,18.384917308634787,4.880202934812953e-9,15081.021521827142,19240.58960287572
16_3,r,0.3813698241389386,0.08514666280345913,4.478975588500049,0.0011808910832187924,0.1916512366295768,0.5710884116483004
16_4,K,18372.62569054256,922.7381616593544,19.910984994381483,2.2417113481961996e-9,16316.636942338962,20428.61443874616
16_4,r,0.3840645591067138,0.07621957072799822,5.03892314583232,5.074292277846344e-4,0.21423677228594526,0.5538923459274823
16_5,K,17614.602460623046,630.27667714183394,27.94741277830776,1.440293467343098e-11,16227.372847482,19001.83207376409
16_5,r,0.38426475880537153,0.05592259088575809,6.871369024914633,2.6871659421585123e-5,0.26117996615194206,0.507349551458801
25_1,K,12873.183650069977,1065.5314566347065,12.081467487339756,3.940705585264116e-9,10602.057111046288,15144.310189093667
25_1,r,0.17055458681217958,0.036700730559714956,4.64717143803647,3.160351546891193e-4,0.09232883133896339,0.24878034228539578
25_2,K,12228.751807010825,1441.7094009566438,8.482119766227825,1.171605995945687e-6,9114.128005456345,15343.375608565306
25_2,r,0.14249540026476198,0.03426185542850526,4.159010026824418,0.0011221746006318332,0.06847716168475967,0.2165136388447643
25_3,K,11553.207146161869,1154.2423775187183,10.009342380062208,7.324322659441932e-7,9012.73680209428,14093.677490229458
25_3,r,0.1476718897256839,0.035171581085797224,4.198613914041979,0.0014890593438538315,0.07025976169888444,0.22508401775248338
25_4,K,13465.013051665848,636.7915290199646,21.145088208677624,1.4061583444981257e-12,12107.72403651993,14822.302066811766
25_4,r,0.1916834506982372,0.027215477548980405,7.0431779252544615,3.9829680311564466e-6,0.13367503344427067,0.24969186795220372
25_5,K,11766.527786108918,795.3485104821488,14.794178440060097,1.317954163354421e-8,10015.977517436719,13517.078054781117
25_5,r,0.26036393255407225,0.05881808825268594,4.426596312269341,0.0010173369844033758,0.13090619316495014,0.3898216719431944
32_1,K,5e4,1938898.2781471792,0.025787840735915373,0.9802628485668403,-4694313.174962906,4794313.174962906
32_1,r,0.019345518896546076,0.049925970899703985,0.3874840798871831,0.7117703478080873,-0.10281893097785842,0.14150996877095057
32_2,K,16842.59669293878,82620.43243299247,0.2038551021455692,0.8465041234528349,-195539.98617172905,229225.17955760658
32_2,r,0.030214648405793874,0.040629400460132595,0.7436646385033876,0.4905264895970868,-0.07422655040981668,0.13465584722140442
32_3,K,5814.111187234405,3009.219029329415,1.9320997011407448,0.09462937005085482,-1301.5611078724296,12929.783482341241
32_3,r,0.06227860589510748,0.05844392911992487,1.0656129187911716,0.32196787905771274,-0.07591932626023662,0.20047653805045157
32_4,K,7641.497281728672,11025.47615282414,0.6930763965029598,0.510595103966882,-18429.6110145972,33712.60557805454
32_4,r,0.030258744605241063,0.030559307898086856,0.9901645909701833,0.355077721403504,-0.04200253596246604,0.10252002517294817
32_5,K,3771.977928389693,1100.0302039867317,3.4289766905665706,0.008968369615034898,1235.3037291468072,6308.652127632578
32_5,r,0.10365194902286282,0.2357424373506629,0.4396830294440466,0.6718023262698828,-0.4399710863508748,0.6472749843966004
5_1,K,21892.506279556816,2676.4841686137383,8.179576227755478,3.720629155066955e-5,15720.52271892505,28064.48984018858
5_1,r,0.09977753510950102,0.01220207931854911,8.177092813830773,3.7288058242530224e-5,0.07163948974283754,0.1279155804761645
5_2,K,24398.77893392881,4100.287002338362,5.950505152447713,0.0010073363912043703,14365.738074811394,34431.81979304623
5_2,r,0.0933337128413816,0.012630501548207593,7.389549218227734,3.152036110959988e-4,0.06242798891716757,0.12423943676559564
5_3,K,25881.71685965895,4790.430460392649,5.402795651382349,0.0016595000906692887,14159.955794038327,37603.47792527957
5_3,r,0.09178775600729085,0.012584590169450278,7.29366270743645,3.3855848523532727e-4,0.06099437317986049,0.1225811388347212
5_4,K,26967.924696879145,4453.713064831815,6.055155396028534,5.133306574952109e-4,16436.566774142208,37499.28261961608
5_4,r,0.10467583978311464,0.01592313322538441,6.573821766198756,3.118150054193169e-4,0.06702361279702782,0.14232806676920146
5_5,K,20629.61405546942,6448.705814923651,3.1990316580620237,0.010848147415488929,6041.628005461447,35217.600105477395
5_5,r,0.11026148821915019,0.04235693614494898,2.6031507057504384,0.028590107678684206,0.014443441724667647,0.20607953471363272
8_1,K,20329.05707538116,763.9063782306686,26.611974522933767,7.22335327146771e-10,18600.980790159418,22057.1333606029
8_1,r,0.15285651770176015,0.010654415442665427,14.346776557036513,1.6596796316799005e-7,0.12875455549270676,0.17695847991081354
8_2,K,22871.281695941132,1367.6876364183618,16.722591538397907,4.37368533963665e-8,19777.35731274679,25965.206079135474
8_2,r,0.20101093027935538,0.024595600200429807,8.172637733631836,1.8656167459327467e-5,0.14537181711263214,0.2566500434460786
8_3,K,21431.206918980868,2119.541525907841,10.111246539414445,7.814779750609823e-6,16543.53539550044,26318.878442461297
8_3,r,0.1287831584937704,0.01918082742157719,6.714160743081274,1.5049448482756193e-4,0.08455209114297593,0.17301422584456486
