ntreatment,term,estimate,std.error,statistic,p.value
1,B0,-3.795216933770969,0.14493886908561127,-26.184949266640423,0.0014552837776654472
1,E,0.7862624648023562,0.6325900131866057,1.2429258262261234,0.33984580739455694
1,E_D,1.8074512676969174,0.9104571596711422,1.985212866412924,0.1855306568906752
1,T_h,296.43000019564926,1.5041266236749669,197.077822790873,2.574587855056073e-5
2,B0,-3.365882297001561,2.862983677400274,-1.1756554267392623,0.36073251787066996
2,E,0.6399142543110277,3.428978162304946,0.1866195187084189,0.8691742190772234
2,E_D,1.0780455189458782,1.4380534749715916,0.7496560717028793,0.5316464276963522
2,T_h,298.3375442669727,8.672988351179505,34.398471690141214,8.440566200557917e-4
3,B0,-3.6915722426593263,0.08382535633818347,-44.03884938784054,5.152195529904875e-4
3,E,0.6678528384321774,0.296666823419107,2.251188153549238,0.1532246812233297
3,E_D,2.2830090930205476,0.8038841514442088,2.8399727608997316,0.10484616116555856
3,T_h,295.66717366437047,1.0826708118375377,273.09055571799917,1.3408429186283612e-5
4,B0,-3.617733612640633,0.2308626198779737,-15.67050401902589,0.004047539447311885
4,E,0.6783390323437342,0.9467599068519084,0.7164847470139434,0.548060365728673
4,E_D,1.7239132655392984,2.1460169434249488,0.8033083200116811,0.5060938321274058
4,T_h,297.2850690955575,2.38118915025839,124.84731381515752,6.415046414045987e-5
5,B0,-3.3452973114757305,0.4752613662045824,-7.038858088110835,0.01959225513031169
5,E,1.75859479650294,1.7855478417713926,0.984904887655257,0.4285038405619753
5,E_D,1.8779118291371029,1.3471402111649884,1.3939987935725788,0.29800147747008265
5,T_h,298.18137761728514,5.933597740884608,50.25304893230442,3.9574669998882264e-4
6,B0,-3.7063095259697683,0.04668887892709328,-79.38313386700358,1.586500303192799e-4
6,E,0.6690029306216054,0.20678131321205323,3.23531619095361,0.08371403635956262
6,E_D,1.8675237343777478,0.8946260481769991,2.087490899894146,0.17210098224721485
6,T_h,298.7255200776627,0.7821472910554972,381.9300066545479,6.855323807636795e-6
7,B0,-3.506202429162004,0.026582882322206028,-131.89699998156692,5.7476818512112516e-5
7,E,1.3637849333605356,0.11389616086855966,11.973932421957517,0.006902581913773032
7,E_D,1.8826298768389684,0.046431999042909594,40.54595786623698,6.077274192014632e-4
7,T_h,295.78815020399577,0.16058619883546976,1841.9275899733361,2.947506025907046e-7
8,B0,-3.526491075077812,0.07256870452869911,-48.595205026474915,4.231919612489838e-4
8,E,0.8141766605790103,0.32817081254386254,2.480953910153693,0.13123325060538676
8,E_D,1.9370973788547134,0.6780987696072859,2.856659627883655,0.10380840481398869
8,T_h,297.1268720666993,0.7874054113453925,377.34928892476927,7.022768511104789e-6
