unique_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
16_1,K,18269.385193325874,652.2933686005789,28.007927219190897,2.819692433186029e-19,16920.01355214441,19618.756834507338
16_1,r,0.36273652794212546,0.04312643760186465,8.411001420772159,1.7966523466697778e-8,0.2735226945867659,0.451950361297485
16_2,K,16486.89212527142,895.0400769276143,18.42028368368223,1.413406775286654e-13,14613.551714602461,18360.23253594038
16_2,r,0.33798783470138843,0.063801859006948,5.2974606063528915,4.108800673776757e-5,0.20444900908387884,0.471526660318898
16_3,K,17245.94410559217,699.3098031232747,24.661379017665574,4.806646705741382e-18,15799.311559320562,18692.57665186378
16_3,r,0.3523206010725599,0.050724097775347185,6.945822922922328,4.4288768781650264e-7,0.24738981017794803,0.4572513919671718
16_4,K,18372.244696171976,636.3556093382953,28.871034413095025,2.191397020613116e-18,17048.870760821937,19695.618631522015
16_4,r,0.384174072623444,0.05261114497109274,7.302142404133742,3.4452048338675484e-7,0.27476320715458447,0.4935849380923035
16_5,K,17701.90478633973,513.9435385638591,34.443286972349426,1.3684932283852347e-22,16643.418254729015,18760.39131795045
16_5,r,0.35600481337917456,0.03647476740025205,9.760303869044398,5.220076138339942e-10,0.2808836237156463,0.4311260030427028
25_1,K,12917.944359497693,827.9761511303882,15.601831455968348,4.947450931727492e-15,11219.07762569047,14616.811093304916
25_1,r,0.13916037617868843,0.020014838818528696,6.952860197398192,1.794577675703256e-7,0.09809331910839704,0.18022743324897983
25_2,K,13304.160885439134,1374.8637202493042,9.67671245483639,1.4159638007368383e-9,10460.038587256366,16148.283183621903
25_2,r,0.10138163904441083,0.01430050949561947,7.089372520291395,3.195169595902473e-7,0.07179878124342776,0.1309644968453939
25_3,K,11552.768110538986,798.0351162766755,14.476515976439424,4.803907437639627e-13,9901.906693871591,13203.62952720638
25_3,r,0.1476928025090452,0.024326600443593402,6.071247104645945,3.421071522391577e-6,0.09736939536578232,0.1980162096523081
25_4,K,13317.447244117842,453.62216202673693,29.358017219919027,4.036575612641916e-23,12389.685752012436,14245.208736223249
25_4,r,0.1665285971767324,0.014395778288518823,11.567877320640958,2.1967252788543835e-12,0.13708592469948333,0.19597126965398148
