unique_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
38_1,K,3873.1560143368733,3729.6187678437955,1.038485769036405,0.31549532768145405,-4076.3382134949925,11822.65024216874
38_1,r,0.04799966678882465,0.05148915115390835,0.9322287455341196,0.36598152582074883,-0.06174686103943187,0.15774619461708117
38_2,K,4118.6746778541365,2529.7796692410884,1.6280764399888241,0.13178589661669188,-1449.332832447034,9686.682188155308
38_2,r,0.06848021059016324,0.062450461695616966,1.0965525110756622,0.2962627465993082,-0.06897232884276103,0.2059327500230875
38_3,K,5803.7822834467315,1470.180454752542,3.9476666042493496,0.0022818127738519663,2567.9369198796103,9039.627647013853
38_3,r,0.09688524148807308,0.03895444996175414,2.4871418177691114,0.03018831520576182,0.011147075202719917,0.18262340777342623
38_4,K,3114.5023070864518,1186.1313579461219,2.6257650859846193,0.023584785034069123,503.8447903276933,5725.15982384521
38_4,r,0.08058590988237029,0.07717555384975504,1.0441895893517592,0.31880227559907126,-0.0892763388627937,0.2504481586275343
38_5,K,2288.4485515065167,499.7703995661291,4.578999783687093,6.335286736787634e-4,1199.5423930439176,3377.354709969116
38_5,r,0.09747947527304464,0.0973294464706151,1.0015414533614433,0.33633366522766217,-0.1145831714015413,0.3095421219476306
