temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
8,TT,5,127,66.65,66.65,0.75,116.95,102.02,103.94,0.5526,1,1,475,905,0,0,0,0,0,0,0,0.76,0.69,0.93,1.44,37.94,0.98,2016-11-14,9.21,10.37,115.63,2.05,-35,5,0.25,0.8,0,0.49,14.85,7.24,08TT5_size_images_000001.tif,33,31,700,98,104.04,11.87,1,44.17,1.15,0.89,1.02,1.15,0,0,0,46.79,1220,36622,0.76,17:50:35,2016-11-15T00:50:35Z,0.11,409.3164,584.555,9.08
8,TT,5,128,96.82,96.82,0.62,124.03,119.16,120.04,0.5526,1,1,426,1,0,0,0,0,0,0,0,0.63,0.59,0.86,1.69,46.12,0.94,2016-11-14,11.1,12.97,115.42,2.97,-35,65,0.34,0.75,0,0.34,20.76,6.99,08TT5_size_images_000001.tif,35,38,733,98,119.98,15.54,1,55.49,1.04,0.97,1.01,1.19,0,0,0,50.15,478,56991,0.72,17:49:33,2016-11-15T00:49:33Z,0.14,716.6881,1143.677,9.51
8,TT,5,129,73.17,73.17,0.65,124.06,111.18,115.9,0.5526,1,1,1111,871,0,0,0,0,0,0,0,0.69,0.65,0.88,1.54,40.9,0.99,2016-11-14,9.65,11.31,115.39,2.42,70,-35,0.21,0.82,0,0.41,16.73,6.92,08TT5_size_images_000001.tif,38,32,773,98,113.82,13.79,1,47.3,1.12,0.93,1.04,1.14,0,0,0,45.1,803,43137,0.75,17:50:00,2016-11-15T00:50:00Z,0.15,470.87,758.5082,9.02
8,TT,5,130,69.3,69.3,0.73,103.72,100.9,109.66,0.5526,1,1,285,927,0,0,0,0,0,0,0,0.79,0.91,0.95,1.1,36.59,1,2016-11-14,9.39,9.94,115.3,1,-65,20,0,1.19,0,1,9.78,9.78,08TT5_size_images_000001.tif,32,30,807,98,103.8,11.65,1,39.1,1.03,1.06,1.09,1.06,0,0,0,27.79,1023,37679,0.89,17:50:18,2016-11-15T00:50:18Z,0.06,433.9742,514.9345,7.89
8,TT,5,131,80.98,80.98,0.78,106.88,103.71,109.58,0.5526,1,1,111,854,0,0,0,0,0,0,0,0.77,0.79,0.95,1.26,40.52,1,2016-11-14,10.15,11.2,115,1,-10,90,0,1.14,0,1,11.16,11.16,08TT5_size_images_000001.tif,32,37,839,98,105.82,12.69,1,44.63,1.03,1.03,1.06,1.09,0,0,0,33.3,319,43493,0.66,17:49:20,2016-11-15T00:49:20Z,0.09,548.2376,734.7451,9.67
8,TT,5,132,99.07,99.07,0.87,131.41,130.49,135.16,0.5526,1,1,835,402,0,0,0,0,0,0,0,0.75,0.49,0.94,2.03,47.66,0.88,2016-11-14,11.23,13.46,114.76,4.15,-40,70,0.7,0.59,0,0.24,24.77,5.97,08TT5_size_images_000001.tif,37,39,878,98,131.96,14.55,1,61.48,1.01,1.03,1.04,1.27,0,0,0,42.44,926,63867,0.64,17:50:10,2016-11-15T00:50:10Z,0.17,741.7896,1277.905,12.04
8,TT,5,133,84.92,84.92,0.9,130.11,117.93,114.73,0.5526,1,1,770,568,0,0,0,0,0,0,0,0.86,0.79,0.98,1.26,41,1,2016-11-14,10.4,11.35,114.72,1,-20,90,0,1.11,0,1,11.35,11.35,08TT5_size_images_000001.tif,33,37,919,98,117.75,12.56,1,45.41,1.1,0.88,0.97,1.1,0,0,0,44.28,855,50278,0.8,17:50:04,2016-11-15T00:50:04Z,0.08,588.6657,764.7151,10.22
8,TT,5,134,75.12,75.12,0.63,117.37,115.02,120.43,0.5526,1,1,1084,31,0,0,0,0,0,0,0,0.69,0.7,0.88,1.43,40.2,0.99,2016-11-14,9.78,11.09,114.7,1.98,-20,75,0.14,0.88,0,0.5,15.31,7.72,08TT5_size_images_000001.tif,32,37,958,98,116.86,13.46,1,46.06,1.02,1.03,1.05,1.13,0,0,0,50.68,529,45224,0.75,17:49:37,2016-11-15T00:49:37Z,0.12,489.7691,714.4909,8.82
8,TT,5,135,76.83,76.83,0.69,125.6,119.06,122.21,0.5526,1,1,437,886,0,0,0,0,0,0,0,0.71,0.62,0.9,1.6,41.58,0.96,2016-11-14,9.89,11.53,114.47,2.65,-85,-15,0.26,0.79,0,0.38,17.85,6.74,08TT5_size_images_000001.tif,40,31,997,98,120.53,14.17,1,49.18,1.05,0.97,1.03,1.17,0,0,0,47.66,1231,47488,0.77,17:50:36,2016-11-15T00:50:36Z,0.14,506.5496,802.6342,8.78
8,TT,5,136,81.23,81.23,0.79,142.5,136.55,132.51,0.5526,1,1,658,556,0,0,0,0,0,0,0,0.71,0.48,0.92,2.07,45.28,0.9,2016-11-14,10.17,12.71,114.03,4.28,-55,75,0.54,0.65,0,0.23,23.2,5.42,08TT5_size_images_000001.tif,36,38,1030,98,135.84,15.09,1,57.24,1.04,0.93,0.97,1.24,0,0,0,31.31,286,55966,0.64,17:49:17,2016-11-15T00:49:17Z,0.2,550.7307,1074.567,10.42
8,TT,5,137,116.96,116.96,0.78,116.61,108.09,110.51,0.5526,1,1,480,777,0,0,0,0,0,0,0,0.73,0.59,0.94,1.69,47.92,0.98,2016-11-14,12.2,13.55,113.75,2.96,60,0,0.43,0.7,0,0.34,22.39,7.57,08TT5_size_images_000001.tif,39,35,1070,98,109.77,15.61,1,59.91,1.08,0.95,1.02,1.23,0,0,0,45.59,847,60925,0.73,17:50:04,2016-11-15T00:50:04Z,0.1,951.4734,1302.29,11.33
8,TT,5,138,105.84,105.84,0.6,114.94,110.4,111.15,0.5526,1,1,219,217,0,0,0,0,0,0,0,0.59,0.68,0.84,1.48,47.6,0.97,2016-11-14,11.61,13.45,113.7,2.18,-5,90,0.13,0.89,0,0.46,18.43,8.47,08TT5_size_images_000001.tif,32,44,1107,98,111.13,16.38,1,53.8,1.04,0.97,1.01,1.12,0,0,0,39.16,196,56788,0.7,17:49:09,2016-11-15T00:49:09Z,0.14,819.1165,1272.641,9.67
8,TT,5,139,124.08,124.08,0.79,105.33,102.25,106.81,0.5526,1,1,179,913,0,0,0,0,0,0,0,0.75,0.61,0.95,1.64,50.31,0.94,2016-11-14,12.57,14.31,113.55,2.78,-30,65,0.28,0.78,0,0.36,22.25,8,08TT5_size_images_000001.tif,36,41,1153,98,103.31,17.4,1,60.5,1.03,1.01,1.04,1.19,0,0,0,42.84,1202,60227,0.73,17:50:33,2016-11-15T00:50:33Z,0.12,1039.676,1534.278,11.59
8,TT,5,140,141.76,141.76,0.65,109.61,117.86,128.17,0.5526,1,1,957,183,0,0,0,0,0,0,0,0.62,0.66,0.9,1.53,52,1,2016-11-14,13.44,14.85,113.43,2.37,65,0,0.24,0.81,0,0.42,21.74,9.16,08TT5_size_images_000001.tif,46,34,1196,98,119.86,17.6,1,61.8,0.93,1.17,1.09,1.17,0,0,0,37.71,109,78150,0.58,17:49:02,2016-11-15T00:49:02Z,0.1,1269.734,1713.786,10.78
8,TT,5,141,122.29,122.29,0.79,113.49,111.34,116.28,0.5526,1,1,1076,189,0,0,0,0,0,0,0,0.76,0.6,0.94,1.67,49.51,0.94,2016-11-14,12.48,14.05,112.55,2.89,-45,45,0.41,0.71,0,0.35,22.55,7.8,08TT5_size_images_000001.tif,40,39,1232,98,112.74,16.04,1,60.69,1.02,1.02,1.04,1.21,0,0,0,49.97,466,64938,0.69,17:49:32,2016-11-15T00:49:32Z,0.11,1017.341,1453.53,12.13
