unique_id,temperature,rep,term,estimate,std.error,statistic,p.value,inverse_temp,conversion
32_2,32,2,K,629429.1967719337,137975.29631861724,4.561897771311426,0.002599040223916642,38.03036842813129,montagnes
38_1,38,1,K,317512.4374687478,75173.98932860841,4.223700781407305,0.0029011507597872326,37.29701727733975,montagnes
38_2,38,2,K,501202.4715708111,445208.5361356791,1.125770129928658,0.3032678103955088,37.29701727733975,montagnes
25_4,25,4,K,1192880.3106856048,148662.3516211402,8.024091491069713,1.1468754868807844e-5,38.92324979320565,montagnes
25_2,25,2,K,1181814.4108116468,247256.3358453609,4.779713356064523,7.460521409066446e-4,38.92324979320565,montagnes
25_5,25,5,K,1007218.8871932285,113742.95270065757,8.855220154552974,2.4559134608708085e-6,38.92324979320565,montagnes
38_4,38,4,K,289246.917884202,25283.196714863065,11.4402826963002,2.6764208810372357e-5,37.29701727733975,montagnes
25_3,25,3,K,1160481.678415459,168129.29904367166,6.902316758687155,7.048724706637256e-5,38.92324979320565,montagnes
38_3,38,3,K,512292.90569565893,123058.28514095672,4.163010276868841,0.005924487212161978,37.29701727733975,montagnes
38_5,38,5,K,250072.04436457145,37597.7773843686,6.651245412941344,5.58032585500698e-4,37.29701727733975,montagnes
25_1,25,1,K,999902.887746037,144757.9982818587,6.907410295900358,2.562435608528057e-5,38.92324979320565,montagnes
32_1,32,1,K,459498.52424705046,84065.82328246611,5.465937360811996,5.973146693406001e-4,38.03036842813129,montagnes
32_3,32,3,K,579347.250880563,97296.13837392251,5.954473225381787,3.4026834704557003e-4,38.03036842813129,montagnes
32_5,32,5,K,518458.56356189155,118164.46456652413,4.38760134414192,0.0023249993555388166,38.03036842813129,montagnes
16_5,16,5,K,1672583.9293816707,97197.41060984725,17.208112015406076,9.282077327703008e-9,40.134763706879696,montagnes
16_2,16,2,K,1535887.0641187665,162386.13449173485,9.458240193511967,1.284474021195153e-5,40.134763706879696,montagnes
16_1,16,1,K,1732123.2303456313,114757.66027046983,15.093748219188399,1.0686678475875471e-7,40.134763706879696,montagnes
5_1,5,1,K,2359152.1453650338,280198.0920642538,8.419586757300415,6.567232557745264e-5,41.72197348856467,montagnes
5_2,5,2,K,2861013.654549918,334670.19981445145,8.548755330280757,5.9532101417223495e-5,41.72197348856467,montagnes
5_3,5,3,K,2555263.762816813,339937.2118760587,7.516869802851897,1.3537064854623774e-4,41.72197348856467,montagnes
5_4,5,4,K,2999115.943502582,212958.03848984372,14.08313095279385,6.277387484794754e-7,41.72197348856467,montagnes
5_5,5,5,K,2308127.654539483,292799.05137280276,7.882975179454008,2.4895579143174482e-5,41.72197348856467,montagnes
8_1,8,1,K,2177211.048820847,158000.1204161775,13.779806262716775,7.879099789302888e-8,41.2767808139579,montagnes
8_2,8,2,K,2247560.5243235934,199918.9315490625,11.242359625016379,5.381299806465631e-7,41.2767808139579,montagnes
8_3,8,3,K,2327174.010807907,199556.88279888686,11.661707570132922,9.819968011353976e-7,41.2767808139579,montagnes
8_4,8,4,K,2106795.230394736,223889.45018737557,9.4099799192482525,1.3340660113327953e-5,41.2767808139579,montagnes
8_5,8,5,K,1929096.5741020502,188569.52963304293,10.230160608959888,1.2898131130677442e-6,41.2767808139579,montagnes
16_3,16,3,K,1743219.7864565735,146957.8298851897,11.862040884915475,8.496405806344867e-7,40.134763706879696,montagnes
16_4,16,4,K,1767585.454627111,127263.05304770923,13.889227173926646,2.1964926024854882e-7,40.134763706879696,montagnes
32_4,32,4,K,564999.1787562139,83264.08898635108,6.785628542081693,2.565378789566677e-4,38.03036842813129,montagnes
