temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
25,TT,3,40,59.48,59.48,0.78,135.66,120.04,119.94,0.5526,1,1,567,800,0,0,0,0,0,0,0,0.73,0.64,0.93,1.56,37.27,0.94,2016-10-31,8.7,10.16,105.06,2.49,10,85,0.36,0.74,0,0.4,15.64,6.29,25TT3_size_images_000001.tif,30,35,1469,2,121.81,11.51,1,43.85,1.13,0.88,1,1.16,0,0,0,47.18,49,39224,0.57,16:27:46,2016-10-31T23:27:46Z,0.14,345.0729,549.287,8.38
25,TT,3,41,89.86,89.86,0.78,145.22,137.69,138.53,0.5526,1,1,1152,547,0,0,0,0,0,0,0,0.66,0.54,0.88,1.87,45.88,0.89,2016-10-31,10.7,12.9,104.92,3.59,20,-25,0.56,0.64,0,0.28,22.13,6.17,25TT3_size_images_000001.tif,38,38,1506,2,138.49,14.17,1,56.6,1.05,0.95,1.01,1.22,0,0,0,44.77,386,61906,0.44,16:28:14,2016-10-31T23:28:14Z,0.17,640.7956,1124.092,10.75
25,TT,3,42,64.49,64.49,0.76,138.08,133.33,138.76,0.5526,1,1,740,76,0,0,0,0,0,0,0,0.82,0.92,0.96,1.09,35.49,1,2016-10-31,9.06,9.59,104.1,1,-35,55,0,1.17,0,1,9.47,9.47,25TT3_size_images_000001.tif,31,32,1546,2,124.6,11.1,1,37.87,1.04,1,1.04,1.06,0,0,0,24.23,57,42737,0.91,16:27:47,2016-10-31T23:27:47Z,0.06,389.5776,462.2857,8.07
25,TT,3,43,83.93,83.93,0.74,122.24,116.21,119.41,0.5526,1,1,138,523,0,0,0,0,0,0,0,0.69,0.56,0.91,1.78,43.31,0.94,2016-10-31,10.34,12.08,102.94,3.28,75,-45,0.47,0.68,0,0.3,20.6,6.27,25TT3_size_images_000001.tif,39,36,1580,2,117.84,14.01,1,53.74,1.05,0.98,1.03,1.22,0,0,0,42.58,87,49845,0.59,16:27:49,2016-10-31T23:27:49Z,0.14,578.4515,923.4263,9.01
25,TT,3,44,92.59,92.59,0.71,129.19,127.52,137.41,0.5526,1,1,989,916,0,0,0,0,0,0,0,0.72,0.74,0.91,1.35,43.82,0.97,2016-10-31,10.86,12.24,102.21,1.63,-5,65,0.11,0.9,0,0.61,15.1,9.26,25TT3_size_images_000001.tif,35,39,1618,2,130.32,13.62,1,48.73,1.01,1.06,1.08,1.1,0,0,0,43.75,335,59685,0.7,16:28:10,2016-10-31T23:28:10Z,0.11,670.2098,961.2333,9.55
25,TT,3,45,90.11,92.34,0.69,134.56,130.96,129.64,0.5526,1,1,271,477,0,0,0,0,0,0,0,0.67,0.62,0.89,1.62,45.64,0.94,2016-10-31,10.71,12.82,100.06,2.73,15,90,0.23,0.81,0,0.37,19.52,7.15,25TT3_size_images_000001.tif,33,42,1659,2,130.96,15.9,1,53.34,1.03,0.96,0.99,1.27,0,0,0,45.88,64,58672,0.65,16:27:47,2016-10-31T23:27:47Z,0.16,643.448,1103.732,10.22
25,TT,3,46,151.32,156.51,0.85,112.51,108.12,106.83,0.5526,1,1,116,1,0,0,0,0,0,0,0,0.71,0.6,0.95,1.66,55.32,0.95,2016-10-31,13.88,15.9,99.65,2.85,-50,55,0.47,0.68,0,0.35,24.86,8.71,25TT3_size_images_000001.tif,39,45,1703,2,107.83,16.95,1,67.14,1.04,0.95,0.99,1.38,0,0,0,41.96,632,74293,0.65,16:28:34,2016-10-31T23:28:34Z,0.13,1400.29,2105.166,13.77
25,TT,3,47,75.61,75.61,0.55,146.6,139.71,139.85,0.5526,1,1,728,144,0,0,0,0,0,0,0,0.62,0.82,0.84,1.22,39.8,1,2016-10-31,9.81,10.97,99.09,1,60,-25,0,1.3,0,1,10.69,10.69,25TT3_size_images_000001.tif,37,31,1750,2,124.51,13.9,1,42.74,1.05,0.95,1,1.06,0,0,0,24.29,296,48436,0.9,16:28:06,2016-10-31T23:28:06Z,0.11,494.5404,690.3766,7.18
25,TT,3,48,80.25,80.25,0.84,125.26,110.59,104.95,0.5526,1,1,946,620,0,0,0,0,0,0,0,0.87,0.95,0.98,1.05,38.4,1,2016-10-31,10.11,10.52,98.95,1,-70,45,0,1.16,0,1,10.13,10.13,25TT3_size_images_000001.tif,34,32,1783,2,109.87,11.71,1,40.53,1.13,0.84,0.95,1.05,0,0,0,28.06,684,44828,0.89,16:28:39,2016-10-31T23:28:39Z,0.04,540.7854,609.5169,9.4
25,TT,3,49,87.39,90.36,0.83,131.14,129.22,136.48,0.5526,1,1,702,65,0,0,0,0,0,0,0,0.75,0.49,0.93,2.05,44.56,0.91,2016-10-31,10.55,12.48,98.53,4.21,-20,-60,0.78,0.56,0,0.24,24.02,5.71,25TT3_size_images_000001.tif,37,37,1817,2,131.24,13.46,1,59.46,1.01,1.04,1.06,1.45,0,0,0,40.76,370,57353,0.63,16:28:13,2016-10-31T23:28:13Z,0.15,614.5112,1017.868,11.36
