unique_id,term,conf.low,conf.high,estimate,std.error,statistic,p.value,temperature,rep,inverse_temp,mean_size
16_1,K,17023.846513080054,19379.154965956295,18201.500739518175,569.2842645910656,31.972604675087712,1.444271335414387e-20,16,1,40.134763706879696,56.300417043357776
16_1,r,0.3633322958878667,0.5393912504951526,0.4513617731915096,0.04255391363958523,10.606821666612495,2.4868964747565543e-10,16,1,40.134763706879696,56.300417043357776
16_2,K,14785.799800193723,18296.328103148997,16541.06395167136,844.0336920855059,19.597634675933822,5.629404843933284e-15,16,2,40.134763706879696,57.47316154296687
16_2,r,0.27847707068935423,0.5104823025643211,0.3944796866268377,0.05578084423297043,7.071956189463196,5.603371068723716e-7,16,2,40.134763706879696,57.47316154296687
16_3,K,15932.942159267714,18516.411378338616,17224.676768803165,624.4313234966833,27.584581555500165,3.9638214558982095e-19,16,3,40.134763706879696,53.35340142213394
16_3,r,0.33136463335016964,0.5357834138856519,0.43357402361791075,0.04940855835830491,8.775281814006476,8.465369812971619e-9,16,3,40.134763706879696,53.35340142213394
16_4,K,17144.94282840219,19752.05568587207,18448.49925713713,630.1460532518382,29.2765449564185,1.0454487937858587e-19,16,4,40.134763706879696,56.28945833982757
16_4,r,0.3408550159780768,0.5282671418259127,0.4345610789019948,0.04529800506954649,9.593382274446938,1.663269900313632e-9,16,4,40.134763706879696,56.28945833982757
16_5,K,16781.087872665907,18555.893091811253,17668.49048223858,430.8744832119536,41.00611934716771,1.8815240720250292e-24,16,5,40.134763706879696,59.582008117102404
16_5,r,0.36970097476803865,0.5083232663237999,0.43901212054591926,0.033653725823788005,13.044978224538967,1.1751820279281812e-12,16,5,40.134763706879696,59.582008117102404
25_1,K,10828.477822671599,13785.408025675833,12306.942924173716,720.5590762137019,17.079713975490538,5.339869549666396e-16,25,1,38.92324979320565,57.545161668526895
25_1,r,0.14590570665913985,0.25860547998592354,0.2022555933225317,0.02746322671916128,7.364596862225829,6.37528673367981e-8,25,1,38.92324979320565,57.545161668526895
25_2,K,10058.716296657118,14099.398878265658,12079.057587461388,976.6436362540489,12.367927398565804,1.2068320044466796e-11,25,2,38.92324979320565,51.73628461326575
25_2,r,0.10972645325072228,0.18986746693590006,0.14979696009331117,0.01937029435938014,7.733334213414853,7.634994607029834e-8,25,2,38.92324979320565,51.73628461326575
25_3,K,9480.0310355387,12363.564748214363,10921.797891876531,696.9577029452319,15.670675344748696,9.11784935213983e-14,25,3,38.92324979320565,57.73922504745566
25_3,r,0.15235744308096666,0.29884418300558885,0.22560081304327775,0.03540623136154184,6.371782716426713,1.6772228944895095e-6,25,3,38.92324979320565,57.73922504745566
25_4,K,12204.785820221607,13985.43493311629,13095.110376668948,435.3176475180253,30.081735604635043,2.035834126481432e-23,25,4,38.92324979320565,55.025186178282006
25_4,r,0.18725276178042538,0.2563719295031699,0.22181234564179764,0.016897654497777845,13.126812698825594,9.932736405847724e-14,25,4,38.92324979320565,55.025186178282006
25_5,K,9985.839653220837,12038.128623181181,11011.984138201009,496.0436564329781,22.199626979180753,4.9154396162943213e-17,25,5,38.92324979320565,52.90770413718816
25_5,r,0.3182840180629035,0.8250356253789634,0.5716598217209334,0.12248319991760431,4.667250872817617,1.066756883355967e-4,25,5,38.92324979320565,52.90770413718816
5_1,K,17916.877994596325,22971.334454733813,20444.10622466507,1227.084691709322,16.660713284742023,4.7827238742731915e-15,5,1,41.72197348856467,85.75567130625313
5_1,r,0.11212411621055744,0.1466654712378106,0.12939479372418403,0.008385702462592043,15.430406015644365,2.7632976524774106e-14,5,1,41.72197348856467,85.75567130625313
5_2,K,18223.06016859808,25566.57581085885,21894.817989728464,1754.283622969818,12.480774318956952,1.3307081453294288e-10,5,2,41.72197348856467,85.17176014631131
5_2,r,0.10418950164499913,0.14368384391624953,0.12393667278062433,0.009434755942739348,13.13618216865499,5.540664085173546e-11,5,2,41.72197348856467,85.17176014631131
5_3,K,19411.84642742958,27243.229858281,23327.53814285529,1870.8297724426595,12.469086437724131,1.352110858087174e-10,5,3,41.72197348856467,88.01800309912149
5_3,r,0.10317681262617956,0.13794730794421517,0.12056206028519736,0.008306281823374725,14.514564139387064,9.8034059157212e-12,5,3,41.72197348856467,88.01800309912149
5_4,K,21215.094966020977,28607.74426613552,24911.41961607825,1766.0211034231095,14.10595805893373,1.6141287758771084e-11,5,4,41.72197348856467,87.5815091795098
5_4,r,0.11464971863573363,0.1566355689912182,0.1356426438134759,0.010029949313543323,13.523761643572739,3.355162747895766e-11,5,4,41.72197348856467,87.5815091795098
5_5,K,18193.97386272997,22578.425449550956,20386.199656140463,1047.3963683280404,19.463691370901895,5.2170392986663655e-14,5,5,41.72197348856467,85.31858756040357
5_5,r,0.11657325909239,0.14904963808246116,0.13281144858742558,0.007758243131909953,17.118753090009125,5.274336393629975e-13,5,5,41.72197348856467,85.31858756040357
8_1,K,19082.020551570557,20631.1763622596,19856.59845691508,372.46237194864904,53.311689857499715,6.661664011427527e-24,8,1,41.2767808139579,74.38568991664769
8_1,r,0.18449911565673094,0.2117353412209561,0.19811722843884352,0.006548385324822573,30.25436326843083,8.384388510151267e-19,8,1,41.2767808139579,74.38568991664769
8_2,K,20885.716281872614,24323.754346168396,22604.735314020505,821.3087797664377,27.522821953089064,8.984593323584944e-17,8,2,41.2767808139579,70.35418636398681
8_2,r,0.21908500913781873,0.2901835071558072,0.25463425814681295,0.016984634712687942,14.992036181772862,5.555676688485247e-12,8,2,41.2767808139579,70.35418636398681
