ID,time,P,type
16_3,36.0,17393576.723166116,simulated
16_3,37.0,17393650.583214257,simulated
16_3,38.0,17393701.19723775,simulated
16_3,39.0,17393735.879347056,simulated
16_3,40.0,17393759.64641964,simulated
16_3,41.0,17393775.93359206,simulated
16_3,42.0,17393787.094540287,simulated
16_3,43.0,17393794.742430102,simulated
16_4,0.5,1455964.4,observed
16_4,7.349351852,7727602.1,observed
16_4,10.28069444,14794524.6,observed
16_4,12.46439815,19878934.46,observed
16_4,17.46391204,14478956.1,observed
16_4,21.34701389,17260842.28,observed
16_4,24.46765046,16815459.07,observed
16_4,28.21662037,12872077.25,observed
16_4,34.53474537,23859478.67,observed
16_4,39.55420139,15875658.83,observed
16_4,42.22229167,15993933.24,observed
16_4,42.22229167,15993933.24,observed
16_4,0.0,1455964.4,simulated
16_4,1.0,2050631.2754489803,simulated
16_4,2.0,2843965.0675728074,simulated
16_4,3.0,3865274.751694937,simulated
16_4,4.0,5121390.982622489,simulated
16_4,5.0,6582354.7387363305,simulated
16_4,6.0,8175131.729969542,simulated
16_4,7.0,9793691.83147759,simulated
16_4,8.0,11325074.985915074,simulated
16_4,9.0,12679127.488356672,simulated
16_4,10.0,13806554.472263828,simulated
16_4,11.0,14699249.053451138,simulated
16_4,12.0,15378352.770615658,simulated
16_4,13.0,15879406.072157048,simulated
16_4,14.0,16240807.992085367,simulated
16_4,15.0,16497242.384431327,simulated
16_4,16.0,16677087.04516604,simulated
16_4,17.0,16802188.02817012,simulated
16_4,18.0,16888713.862953108,simulated
16_4,19.0,16948323.35185776,simulated
16_4,20.0,16989277.92644966,simulated
16_4,21.0,17017363.069159113,simulated
16_4,22.0,17036598.1178131,simulated
16_4,23.0,17049760.30283441,simulated
16_4,24.0,17058761.52153091,simulated
16_4,25.0,17064914.64833125,simulated
16_4,26.0,17069119.669649508,simulated
16_4,27.0,17071992.81116192,simulated
16_4,28.0,17073955.66861513,simulated
16_4,29.0,17075296.52269811,simulated
16_4,30.0,17076212.421375003,simulated
16_4,31.0,17076838.020201664,simulated
16_4,32.0,17077265.31960105,simulated
16_4,33.0,17077557.168439727,simulated
16_4,34.0,17077756.501333315,simulated
16_4,35.0,17077892.644703027,simulated
16_4,36.0,17077985.629073005,simulated
16_4,37.0,17078049.136247315,simulated
16_4,38.0,17078092.51067349,simulated
16_4,39.0,17078122.135031372,simulated
16_4,40.0,17078142.367116142,simulated
16_4,41.0,17078156.184475273,simulated
16_4,42.0,17078165.622976992,simulated
16_4,43.0,17078172.069417577,simulated
16_5,0.5,1455964.4,observed
16_5,0.537638889,844764.64,observed
16_5,7.350497685,8051125.3,observed
16_5,10.27893519,14750342.25,observed
16_5,12.46577546,16299915.84,observed
16_5,17.46217593,15567732.4,observed
16_5,21.3496875,13897780.96,observed
16_5,24.46880787,18391776.04,observed
16_5,28.22046296,15120346.96,observed
16_5,34.53371528,21841858.64,observed
16_5,39.5553125,13603812.94,observed
16_5,42.22090278,13867650.5,observed
16_5,42.22090278,13867650.5,observed
16_5,0.0,1455964.4,simulated
16_5,1.0,2044052.540771289,simulated
16_5,2.0,2823579.0572533794,simulated
16_5,3.0,3819065.0651051453,simulated
16_5,4.0,5031549.678664525,simulated
16_5,5.0,6425984.080007844,simulated
16_5,6.0,7927678.716343459,simulated
16_5,7.0,9434658.54651148,simulated
16_5,8.0,10843529.94619065,simulated
16_5,9.0,12076098.476415774,simulated
16_5,10.0,13093355.275595736,simulated
16_5,11.0,13893277.807066571,simulated
