rsq,unique_id
0.871500777428918,16_1
0.695156297006037,16_2
0.763062829454912,16_3
0.792127368584378,16_4
0.895262714096158,16_5
0.683242724834331,25_1
0.644301613729454,25_2
0.513006608542923,25_3
0.790023664026984,25_4
0.73769743895874,25_5
0.26097432209088,32_1
0.20325320650383,32_2
0.380733652427266,32_3
0.458619582320018,32_4
0.260599171382613,32_5
0.922515482291995,5_1
0.905318541420632,5_2
0.90235125976702,5_3
0.889044957333494,5_4
0.914536950186654,5_5
0.95204461734496,8_1
0.881437709620835,8_2
0.875190677777831,8_3
0.895179841488648,8_4
0.936951551544099,8_5
