temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
16,TT,2,1,45.44,45.44,0.96,118.59,100.59,94.96,0.5526,1,1,903,555,0,0,0,0,0,0,0,0.88,0.89,0.99,1.13,31.06,1,2016-12-01,7.61,8.18,167.08,1,70,0,0,1.08,0,1,8.41,8.41,16TT2_size_images_000001.tif,30,28,2,2,100.13,9.07,1,33.63,1.18,0.8,0.94,1.07,0,0,0,31.18,192,26233,0.79,19:30:25,2016-12-02T02:30:25Z,0.07,230.4116,287.0271,7.46
16,TT,2,2,97.32,97.32,0.71,122.07,108.94,98.19,0.5526,1,1,927,431,0,0,0,0,0,0,0,0.76,0.88,0.94,1.14,42.85,1,2016-12-01,11.13,11.94,167.04,1,-65,30,0,1.22,0,1,11.42,11.42,16TT2_size_images_000001.tif,37,36,32,2,107.02,13.89,1,45.68,1.12,0.8,0.9,1.06,0,0,0,31.37,235,51049,0.79,19:30:28,2016-12-02T02:30:28Z,0.07,722.2368,890.2667,9.24
16,TT,2,3,62.81,62.81,0.68,107.82,102.24,109.92,0.5526,1,1,1052,727,0,0,0,0,0,0,0,0.72,0.71,0.9,1.42,37.6,0.97,2016-12-01,8.94,10.27,163.67,1.93,20,75,0.22,0.82,0,0.52,14.09,7.28,16TT2_size_images_000001.tif,30,34,70,2,104.9,11.52,1,42.74,1.05,1.02,1.08,1.12,0,0,0,39.21,442,35247,0.7,19:30:46,2016-12-02T02:30:46Z,0.13,374.4994,566.363,7.43
16,TT,2,4,69.78,69.78,0.82,113.09,108.24,107.76,0.5526,1,1,800,451,0,0,0,0,0,0,0,0.78,0.56,0.95,1.8,40.03,0.93,2016-12-01,9.43,11.04,156.88,3.34,-15,90,0.56,0.64,0,0.3,19.3,5.77,16TT2_size_images_000001.tif,32,36,106,2,108.36,12.41,1,50.16,1.04,0.95,1,1.23,0,0,0,41.37,479,39553,0.66,19:30:49,2016-12-02T02:30:49Z,0.15,438.5197,703.9497,9.67
16,TT,2,5,68.58,68.58,0.92,133.53,119.47,120.01,0.5526,1,1,831,718,0,0,0,0,0,0,0,0.84,0.78,0.99,1.27,36.96,1,2016-12-01,9.34,10.06,155.65,1.07,75,35,0.03,0.97,0,0.94,10.84,10.14,16TT2_size_images_000001.tif,33,32,144,2,119.57,10.52,1,41.96,1.12,0.9,1,1.12,0,0,0,32.44,255,43045,0.74,19:30:30,2016-12-02T02:30:30Z,0.07,427.1916,533.4449,9.34
16,TT,2,6,52.17,52.17,0.83,121.93,104.96,101.15,0.5526,1,1,623,844,0,0,0,0,0,0,0,0.85,0.9,0.97,1.11,32.73,1,2016-12-01,8.15,8.72,154.02,1,80,0,0,1.11,0,1,8.8,8.8,16TT2_size_images_000001.tif,32,28,178,2,105.44,9.78,1,35.2,1.16,0.83,0.96,1.06,0,0,0,28.66,244,30682,0.82,19:30:29,2016-12-02T02:30:29Z,0.06,283.4608,346.7228,7.46
16,TT,2,7,82.46,82.46,0.91,114.37,109.39,111.66,0.5526,1,1,284,400,0,0,0,0,0,0,0,0.78,0.68,0.97,1.46,40.91,0.98,2016-12-01,10.25,11.32,142.16,2.13,-65,50,0.33,0.75,0,0.47,16.47,7.73,16TT2_size_images_000001.tif,35,34,208,2,110.42,12.42,1,48.4,1.05,0.98,1.02,1.17,0,0,0,36.87,97,46044,0.64,19:30:17,2016-12-02T02:30:17Z,0.09,563.2638,758.8861,9.95
16,TT,2,8,75.12,75.12,0.53,98.76,94.25,101.16,0.5526,1,1,68,641,0,0,0,0,0,0,0,0.56,0.6,0.79,1.66,42.65,0.98,2016-12-01,9.78,11.87,140.97,2.86,-60,50,0.19,0.84,0,0.35,18.4,6.42,16TT2_size_images_000001.tif,38,34,244,2,96.6,15.41,1,49.64,1.05,1.02,1.07,1.15,0,0,0,34.27,470,37385,0.67,19:30:48,2016-12-02T02:30:48Z,0.18,489.7691,876.122,7.98
16,TT,2,9,50.3,50.3,0.68,143.31,129.1,120.76,0.5526,1,1,414,454,0,0,0,0,0,0,0,0.75,0.79,0.92,1.27,33.48,1,2016-12-01,8,8.96,139.64,1,80,-35,0,1.18,0,1,9.27,9.27,16TT2_size_images_000001.tif,34,28,280,2,125.4,10.97,1,37.08,1.11,0.84,0.94,1.09,0,0,0,38,548,35489,0.85,19:30:55,2016-12-02T02:30:55Z,0.11,268.3748,376.0962,7.26
16,TT,2,10,43.6,43.6,0.83,111.3,96.72,96.76,0.5526,1,1,88,60,0,0,0,0,0,0,0,0.83,0.81,0.96,1.24,31.21,1,2016-12-01,7.45,8.23,138.65,1,-35,25,0,1.01,0,1,8.68,8.68,16TT2_size_images_000001.tif,30,29,310,2,97.7,8.8,1,34.74,1.15,0.87,1,1.1,0,0,0,39.17,379,24815,0.81,19:30:40,2016-12-02T02:30:40Z,0.09,216.5858,292.1915,6.81
16,TT,2,11,64.01,64.01,0.68,137.65,125.44,120.65,0.5526,1,1,602,305,0,0,0,0,0,0,0,0.73,0.81,0.91,1.23,36.56,1,2016-12-01,9.03,9.94,136.48,1,-15,90,0,1.13,0,1,10.03,10.03,16TT2_size_images_000001.tif,27,34,341,2,124.67,11.34,1,40.13,1.1,0.88,0.96,1.08,0,0,0,29.45,79,42513,0.8,19:30:15,2016-12-02T02:30:15Z,0.09,385.2449,513.4937,6.91
16,TT,2,12,64.97,68.58,0.68,144.67,128.78,126.76,0.5526,1,1,1193,562,0,0,0,0,0,0,0,0.68,0.58,0.87,1.72,40.8,0.95,2016-12-01,9.1,11.28,133.83,3.07,50,-15,0.33,0.75,0,0.33,18.38,5.98,16TT2_size_images_000001.tif,33,32,377,2,129.97,13.77,1,48.73,1.12,0.88,0.98,1.35,0,0,0,40.52,217,44838,0.66,19:30:27,2016-12-02T02:30:27Z,0.19,393.9298,752.0145,8.92
16,TT,2,13,67.37,67.37,0.71,133.19,119.99,117.42,0.5526,1,1,693,739,0,0,0,0,0,0,0,0.72,0.66,0.92,1.51,39.52,0.97,2016-12-01,9.26,10.88,133.83,2.33,-75,45,0.23,0.82,0,0.43,15.88,6.83,16TT2_size_images_000001.tif,37,33,411,2,120.26,12.95,1,45.41,1.11,0.88,0.98,1.13,0,0,0,36.01,75,42691,0.69,19:30:15,2016-12-02T02:30:15Z,0.15,415.9834,673.7496,8.23
