List File,08CR1.lst
Start Time,2016-11-10  11:48:47
Sampling Time,45 sec

Count,26
Particles / ml,1342

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),67.26,26.72,178.69,39.04,58.05
Aspect Ratio,0.86,0.64,0.93,0.07,8.52
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.77,0.57,0.90,0.09,11.92
Circularity (Hu),0.94,0.81,0.99,0.05,5.27
Compactness,1.67,1.08,3.89,0.66,39.37
Diameter (ABD),8.94,5.83,15.08,2.43,27.23
Diameter (ESD),10.24,6.43,16.65,2.64,25.82
Elongation,2.77,1.00,10.12,2.27,81.99
Geodesic Aspect Ratio,0.57,0.10,1.00,0.33,57.84
Geodesic Length,15.99,6.88,34.77,7.49,46.83
Geodesic Thickness,7.07,2.87,11.12,2.13,30.07
Image Height,33.19,26.00,45.00,5.09,15.34
Image Width,32.04,25.00,45.00,5.26,16.41
Intensity,136.55,102.91,180.58,24.84,18.19
Length,11.43,6.80,18.94,2.94,25.75
Perimeter,46.11,27.52,82.69,13.52,29.32
Roughness,1.21,1.06,1.70,0.15,12.74
Sigma Intensity,37.90,23.87,52.04,7.26,19.14
Sum Intensity,47978.08,20627.00,84851.00,21351.33,44.50
Transparency,0.13,0.07,0.29,0.05,39.74
Volume (ABD),461.16,103.88,1796.81,427.70,92.74
Width,8.88,5.67,15.29,2.46,27.71

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,7.69,1.62,103,0.01
7-8um,3,11.54,3.67,155,0.03
8-9um,2,7.69,3.21,103,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,14,53.85,26.33,722,0.24
10-15um,10,38.46,47.09,516,0.43
15-20um,2,7.69,26.58,103,0.24
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6,23.08,16.31,310,0.15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

