List File,16CR3.lst
Start Time,2016-11-14  13:57:50
Sampling Time,48 sec

Count,1732
Particles / ml,83066

Efficiency,8.5%
PPUI,3.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),48.63,19.81,272.35,18.34,37.71
Aspect Ratio,0.86,0.42,1.00,0.08,9.77
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.81,0.22,0.96,0.08,10.25
Circularity (Hu),0.95,0.65,1.00,0.04,3.74
Compactness,1.42,1.00,3.66,0.34,23.99
Diameter (ABD),7.76,5.02,18.62,1.31,16.90
Diameter (ESD),8.80,5.32,23.56,1.57,17.87
Elongation,1.99,1.00,9.39,1.17,58.72
Geodesic Aspect Ratio,0.66,0.11,1.00,0.30,45.64
Geodesic Length,12.27,5.77,44.91,4.50,36.63
Geodesic Thickness,6.90,2.80,16.22,1.61,23.40
Image Height,30.47,23.00,70.00,3.42,11.22
Image Width,29.80,23.00,51.00,3.15,10.57
Intensity,126.39,84.80,178.47,15.22,12.04
Length,9.88,5.58,30.79,1.94,19.62
Perimeter,38.35,23.10,104.41,7.65,19.95
Roughness,1.15,1.02,1.94,0.09,8.23
Sigma Intensity,34.84,8.21,51.75,8.42,24.16
Sum Intensity,34782.54,16325.00,1.62e+005,11292.84,32.47
Transparency,0.12,0.03,0.29,0.05,40.25
Volume (ABD),267.26,66.31,3381.17,182.03,68.11
Width,7.55,4.70,20.00,1.30,17.21

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,23,1.33,0.34,1103,0.11
6-7um,136,7.85,3.05,6522,1.00
7-8um,359,20.73,11.92,17217,3.90
8-9um,537,31.00,25.44,25754,8.32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1446,83.49,65.87,69349,22
10-15um,278,16.05,30.85,13333,10
15-20um,5,0.29,1.49,240,0.49
20-25um,2,0.12,1.72,96,0.56
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,381,22.00,24.68,18273,8.08
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

