List File,08SO2.lst
Start Time,2017-01-01  15:11:59
Sampling Time,36 sec

Count,1339
Particles / ml,87013

Efficiency,8.5%
PPUI,3.26

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),212.17,19.60,927.55,135.19,63.72
Aspect Ratio,0.70,0.20,1.00,0.15,21.93
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.59,0.00,0.94,0.16,27.24
Circularity (Hu),0.86,0.20,1.00,0.11,13.38
Compactness,2.24,1.01,11.89,1.05,47.04
Diameter (ABD),15.70,5.00,34.37,4.86,30.94
Diameter (ESD),18.58,6.09,40.24,5.58,30.00
Elongation,4.75,1.00,35.32,3.40,71.72
Geodesic Aspect Ratio,0.29,0.03,1.00,0.16,54.88
Geodesic Length,34.15,6.64,114.19,14.34,41.99
Geodesic Thickness,8.25,1.25,20.83,2.53,30.67
Image Height,49.52,21.00,103.00,12.55,25.34
Image Width,45.94,21.00,99.00,10.68,23.26
Intensity,143.99,82.66,213.12,19.03,13.22
Length,21.96,7.12,49.29,7.07,32.20
Perimeter,84.80,26.55,247.39,29.22,34.46
Roughness,1.38,1.04,2.49,0.24,17.60
Sigma Intensity,42.35,4.87,59.89,7.80,18.41
Sum Intensity,1.31e+005,21092.00,4.86e+005,73337.28,56.08
Transparency,0.16,0.03,0.60,0.07,43.11
Volume (ABD),2648.70,65.29,21250.66,2697.96,101.86
Width,14.39,3.26,30.90,4.47,31.08

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,7,0.52,0.02,455,0.06
7-8um,12,0.90,0.05,780,0.17
8-9um,18,1.34,0.10,1170,0.37
0-5um,0,0.00,0.00,0.00,0.00
5-10um,48,3.58,0.25,3119,0.93
10-15um,304,22.70,6.43,19755,24
15-20um,541,40.40,26.42,35156,100
20-25um,272,20.31,26.67,17676,101
25-30um,103,7.69,18.53,6693,70
30-35um,59,4.41,17.25,3834,65
35-40um,7,0.52,3.20,455,12
40-45um,2,0.15,1.17,130,4.41
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,11,0.82,0.09,715,0.32
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

