List File,25SO1.lst
Start Time,2017-01-01  15:28:00
Sampling Time,35 sec

Count,2415
Particles / ml,161016

Efficiency,8.5%
PPUI,5.79

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),129.02,19.60,723.95,70.49,54.64
Aspect Ratio,0.71,0.12,1.00,0.16,23.05
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.60,0.00,0.94,0.15,24.95
Circularity (Hu),0.85,0.14,1.00,0.12,14.13
Compactness,2.27,1.00,10.25,1.00,44.09
Diameter (ABD),12.41,5.00,30.36,3.20,25.82
Diameter (ESD),15.04,5.59,37.68,3.80,25.29
Elongation,4.85,1.00,30.16,3.25,67.10
Geodesic Aspect Ratio,0.29,0.03,1.00,0.20,66.51
Geodesic Length,28.36,6.05,96.11,11.89,41.92
Geodesic Thickness,6.72,1.58,14.05,1.90,28.34
Image Height,42.88,18.00,93.00,8.77,20.45
Image Width,40.02,18.00,101.00,8.10,20.24
Intensity,145.57,75.62,221.35,19.57,13.44
Length,17.94,6.11,47.80,4.82,26.84
Perimeter,70.15,24.20,205.12,23.02,32.82
Roughness,1.35,1.03,2.60,0.24,17.95
Sigma Intensity,40.72,3.41,64.52,8.63,21.20
Sum Intensity,87059.99,15813.00,3.98e+005,41061.88,47.17
Transparency,0.17,0.04,0.64,0.07,41.55
Volume (ABD),1214.45,65.29,14652.86,1120.54,92.27
Width,11.55,2.19,26.25,3.21,27.82

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.04,0.00,67,0.01
6-7um,11,0.46,0.04,733,0.12
7-8um,35,1.45,0.16,2334,0.54
8-9um,54,2.24,0.35,3600,1.20
0-5um,0,0.00,0.00,0.00,0.00
5-10um,189,7.83,1.33,12601,4.60
10-15um,1058,43.81,23.51,70540,81
15-20um,961,39.79,48.70,64073,168
20-25um,163,6.75,17.52,10868,60
25-30um,26,1.08,5.32,1734,18
30-35um,8,0.33,2.62,533,9.06
35-40um,1,0.04,0.54,67,1.87
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,88,3.64,0.79,5867,2.74
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

