List File,16SO2.lst
Start Time,2016-12-12  13:59:36
Sampling Time,46 sec

Count,414
Particles / ml,20709

Efficiency,8.6%
PPUI,1.43

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),150.17,19.60,831.20,111.78,74.43
Aspect Ratio,0.74,0.20,0.99,0.14,19.41
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.11,0.87,0.13,19.96
Circularity (Hu),0.88,0.21,0.98,0.10,11.88
Compactness,2.10,1.05,7.33,0.90,42.98
Diameter (ABD),13.12,5.00,32.53,4.36,33.26
Diameter (ESD),15.42,6.83,38.94,4.92,31.91
Elongation,4.29,1.00,20.98,2.96,68.82
Geodesic Aspect Ratio,0.32,0.05,1.00,0.16,51.60
Geodesic Length,28.30,7.11,137.78,14.72,52.02
Geodesic Thickness,7.39,2.09,14.99,2.21,29.92
Image Height,41.40,20.00,94.00,10.62,25.64
Image Width,42.37,23.00,85.00,9.29,21.94
Intensity,160.37,108.38,211.04,15.56,9.70
Length,17.98,8.22,45.64,5.66,31.48
Perimeter,71.38,28.43,289.48,29.76,41.69
Roughness,1.34,1.05,2.46,0.26,19.19
Sigma Intensity,41.55,4.07,54.34,7.77,18.70
Sum Intensity,1.08e+005,21365.00,4.74e+005,64763.05,60.02
Transparency,0.15,0.05,0.57,0.06,42.63
Volume (ABD),1628.81,65.29,18026.88,2136.39,131.16
Width,12.19,2.54,32.21,4.37,35.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.24,0.02,50,0.01
7-8um,5,1.21,0.11,250,0.06
8-9um,9,2.17,0.26,450,0.14
0-5um,0,0.00,0.00,0.00,0.00
5-10um,29,7.00,1.00,1451,0.53
10-15um,201,48.55,20.21,10054,11
15-20um,117,28.26,30.13,5853,16
20-25um,46,11.11,23.85,2301,13
25-30um,10,2.42,9.93,500,5.29
30-35um,4,0.97,6.62,200,3.53
35-40um,3,0.72,7.87,150,4.19
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,14,3.38,0.61,700,0.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

