List File,32CR1.lst
Start Time,2016-11-17  13:47:43
Sampling Time,49 sec

Count,1422
Particles / ml,67281

Efficiency,8.5%
PPUI,2.61

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.79,21.24,303.16,16.77,32.38
Aspect Ratio,0.88,0.40,1.00,0.08,9.15
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.83,0.21,0.95,0.08,9.86
Circularity (Hu),0.96,0.58,1.00,0.03,3.48
Compactness,1.37,1.00,4.19,0.33,24.08
Diameter (ABD),8.03,5.20,19.65,1.20,14.89
Diameter (ESD),9.00,5.68,24.07,1.45,16.11
Elongation,1.84,1.00,11.08,1.10,59.77
Geodesic Aspect Ratio,0.70,0.09,1.00,0.29,42.02
Geodesic Length,12.02,6.16,44.65,4.31,35.88
Geodesic Thickness,7.28,3.14,12.18,1.56,21.47
Image Height,30.88,23.00,69.00,3.33,10.78
Image Width,30.06,22.00,49.00,2.85,9.50
Intensity,121.89,86.50,181.38,14.35,11.78
Length,10.03,6.11,30.28,1.83,18.24
Perimeter,38.61,24.66,106.75,7.19,18.61
Roughness,1.14,1.03,1.71,0.09,7.78
Sigma Intensity,33.55,10.72,51.54,7.51,22.38
Sum Intensity,35297.42,17985.00,1.60e+005,10477.10,29.68
Transparency,0.10,0.03,0.30,0.05,44.59
Volume (ABD),290.48,73.66,3970.80,166.88,57.45
Width,7.82,5.10,17.85,1.18,15.10

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.21,0.05,142,0.01
6-7um,58,4.08,1.51,2744,0.42
7-8um,278,19.55,10.66,13153,2.97
8-9um,434,30.52,23.86,20534,6.65
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1137,79.96,63.49,53796,18
10-15um,277,19.48,33.35,13106,9.29
15-20um,5,0.35,1.74,237,0.48
20-25um,1,0.07,1.24,47,0.35
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,360,25.32,27.21,17033,7.58
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

