List File,25CR2.lst
Start Time,2016-11-17  13:36:11
Sampling Time,49 sec

Count,728
Particles / ml,34337

Efficiency,8.5%
PPUI,1.80

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.98,20.42,216.96,21.98,36.65
Aspect Ratio,0.90,0.53,1.00,0.08,8.48
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.88,0.49,0.95,0.08,8.70
Circularity (Hu),0.98,0.78,1.00,0.03,2.88
Compactness,1.16,1.00,2.46,0.21,18.44
Diameter (ABD),8.61,5.10,16.62,1.50,17.43
Diameter (ESD),9.22,5.89,18.38,1.58,17.17
Elongation,1.23,1.00,5.54,0.67,54.15
Geodesic Aspect Ratio,0.92,0.18,1.00,0.21,22.59
Geodesic Length,10.03,6.33,31.16,2.83,28.26
Geodesic Thickness,8.71,3.32,14.62,1.65,18.99
Image Height,30.90,24.00,53.00,3.14,10.18
Image Width,30.73,23.00,48.00,3.23,10.52
Intensity,119.82,88.28,165.55,12.85,10.72
Length,10.00,6.28,21.79,1.85,18.46
Perimeter,37.49,25.31,73.58,6.03,16.07
Roughness,1.09,1.03,1.67,0.07,6.30
Sigma Intensity,26.19,4.27,57.63,8.41,32.10
Sum Intensity,38400.66,15534.00,1.17e+005,10853.20,28.26
Transparency,0.07,0.03,0.28,0.04,59.62
Volume (ABD),365.96,69.42,2404.01,218.36,59.67
Width,8.28,4.70,14.02,1.41,17.02

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.27,0.07,94,0.01
6-7um,35,4.81,1.67,1651,0.26
7-8um,126,17.31,8.87,5943,1.37
8-9um,182,25.00,18.01,8584,2.77
0-5um,0,0.00,0.00,0.00,0.00
5-10um,526,72.25,53.20,24809,8.19
10-15um,195,26.79,42.81,9197,6.59
15-20um,5,0.69,3.67,236,0.57
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,177,24.31,24.24,8348,3.73
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

