List File,25SO4.lst
Start Time,2016-12-24  12:36:36
Sampling Time,37 sec

Count,4610
Particles / ml,298473

Efficiency,8.2%
PPUI,10.70

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),114.74,19.60,641.15,54.41,47.42
Aspect Ratio,0.74,0.14,1.00,0.16,21.62
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.63,0.00,0.93,0.15,23.67
Circularity (Hu),0.86,0.13,1.00,0.13,14.54
Compactness,2.25,1.00,10.97,1.05,46.56
Diameter (ABD),11.78,5.00,28.57,2.72,23.08
Diameter (ESD),14.26,5.33,36.93,3.30,23.17
Elongation,4.78,1.00,32.43,3.41,71.33
Geodesic Aspect Ratio,0.30,0.03,1.00,0.20,64.61
Geodesic Length,26.91,5.86,95.46,11.50,42.72
Geodesic Thickness,6.53,1.47,18.13,1.79,27.37
Image Height,40.18,17.00,97.00,7.42,18.48
Image Width,39.91,18.00,85.00,7.23,18.12
Intensity,151.68,78.05,222.69,19.03,12.55
Length,16.88,5.76,47.01,4.23,25.07
Perimeter,66.87,23.42,201.86,21.74,32.51
Roughness,1.34,1.04,2.45,0.23,17.54
Sigma Intensity,40.61,2.97,63.09,8.59,21.16
Sum Intensity,82704.50,14594.00,3.77e+005,34555.63,41.78
Transparency,0.17,0.04,0.67,0.08,44.47
Volume (ABD),997.46,65.29,12212.59,775.00,77.70
Width,11.19,1.93,28.38,2.82,25.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,0.15,0.01,453,0.04
6-7um,22,0.48,0.04,1424,0.20
7-8um,48,1.04,0.13,3108,0.70
8-9um,92,2.00,0.36,5957,1.93
0-5um,0,0.00,0.00,0.00,0.00
5-10um,350,7.59,1.55,22661,8.23
10-15um,2505,54.34,34.29,162186,182
15-20um,1541,33.43,48.22,99772,255
20-25um,175,3.80,11.44,11330,61
25-30um,26,0.56,3.20,1683,17
30-35um,4,0.09,0.86,259,4.55
35-40um,1,0.02,0.32,65,1.71
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,180,3.90,1.01,11654,5.33
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

