List File,38SO4.lst
Start Time,2017-01-10  15:07:47
Sampling Time,35 sec

Count,132
Particles / ml,8667

Efficiency,8.5%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),154.11,20.01,842.83,117.58,76.30
Aspect Ratio,0.69,0.10,0.98,0.16,22.88
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.00,0.91,0.17,27.41
Circularity (Hu),0.86,0.13,1.00,0.15,17.14
Compactness,1.90,1.04,9.63,1.21,63.87
Diameter (ABD),13.20,5.05,32.76,4.70,35.60
Diameter (ESD),15.68,6.07,40.02,5.36,34.18
Elongation,3.53,1.00,28.22,3.97,112.46
Geodesic Aspect Ratio,0.51,0.04,1.00,0.32,62.44
Geodesic Length,23.54,6.52,75.39,11.79,50.07
Geodesic Thickness,9.64,1.51,19.40,4.20,43.55
Image Height,43.56,23.00,90.00,11.01,25.28
Image Width,41.72,17.00,90.00,11.03,26.45
Intensity,160.32,115.83,185.47,15.03,9.38
Length,18.81,6.80,44.57,6.44,34.26
Perimeter,66.35,26.09,178.58,23.51,35.44
Roughness,1.40,1.05,2.62,0.32,22.63
Sigma Intensity,37.06,12.23,55.04,8.22,22.19
Sum Intensity,1.11e+005,19739.00,5.44e+005,73677.08,66.34
Transparency,0.16,0.04,0.66,0.10,66.33
Volume (ABD),1708.48,67.34,18406.67,2271.58,132.96
Width,11.91,1.93,36.49,4.65,39.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,3.03,0.15,263,0.04
7-8um,5,3.79,0.31,328,0.08
8-9um,2,1.52,0.18,131,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,14,10.61,1.02,919,0.25
10-15um,45,34.09,13.94,2955,3.41
15-20um,53,40.15,37.18,3480,9.08
20-25um,14,10.61,18.70,919,4.57
25-30um,1,0.76,2.90,66,0.71
30-35um,2,1.52,11.17,131,2.73
35-40um,1,0.76,6.07,66,1.48
40-45um,1,0.76,9.02,66,2.20
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,2.27,0.39,197,0.10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

