List File,32SO3.lst
Start Time,2016-12-08  11:46:43
Sampling Time,49 sec

Count,680
Particles / ml,32120

Efficiency,8.5%
PPUI,1.69

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),86.26,19.60,555.44,52.26,60.59
Aspect Ratio,0.72,0.19,1.00,0.18,24.48
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.64,0.05,0.92,0.16,25.01
Circularity (Hu),0.85,0.18,0.99,0.15,18.10
Compactness,2.16,1.00,7.12,1.02,47.14
Diameter (ABD),10.07,5.00,26.59,2.91,28.86
Diameter (ESD),12.30,5.49,29.56,3.46,28.09
Elongation,4.44,1.00,20.30,3.36,75.56
Geodesic Aspect Ratio,0.35,0.05,1.00,0.23,65.73
Geodesic Length,22.79,5.94,74.05,11.61,50.97
Geodesic Thickness,6.12,1.77,14.87,1.88,30.70
Image Height,36.18,18.00,60.00,7.54,20.83
Image Width,36.00,20.00,74.00,7.27,20.20
Intensity,163.82,103.28,217.77,17.51,10.69
Length,14.66,6.22,36.00,4.11,28.03
Perimeter,57.81,23.74,155.86,22.12,38.27
Roughness,1.30,1.04,2.20,0.24,18.26
Sigma Intensity,39.04,3.46,55.90,11.25,28.83
Sum Intensity,69889.50,17042.00,3.32e+005,34849.02,49.86
Transparency,0.18,0.06,0.59,0.09,51.98
Volume (ABD),677.86,65.29,9847.34,691.15,101.96
Width,9.23,2.21,25.14,3.33,36.08

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.15,0.01,47,0.00
6-7um,10,1.47,0.18,472,0.07
7-8um,27,3.97,0.74,1275,0.29
8-9um,65,9.56,2.53,3070,1.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,195,28.68,8.36,9211,3.30
10-15um,343,50.44,40.70,16201,16
15-20um,126,18.53,38.99,5952,15
20-25um,9,1.32,5.92,425,2.33
25-30um,4,0.59,5.26,189,2.07
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,91,13.38,4.87,4298,1.92
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

